CODE	VN_NAME	EN_NAME	MARKET	INDUSTRY	IPO	IPO_SHARES	FTRD_DATE	FTRD_CLS	START	CAPI	MINDATE	MINDATE_SHLI
APG	CTCP Chứng khoán An Phát	Anphat Securities Jsc	HNX	Financials	2010/04/05	13500000	2010/04/05			135,000,000,000	2010/04/05	13500000
API	CTCP Đầu tư Châu Á - Thái Bình Dương	Asia - Pacific Investment Jsc	HNX	Financials	2010/09/13	26400000	2010/09/13			264,000,000,000	2009/10/26	26400000
APP	CTCP Phát triển Phụ gia và Sản phẩm Dầu mỏ	Additives And Petroleum Products Jsc	HNX	Basic Materials	2010/10/05	2722500	2010/10/05			27,225,000,000	2010/10/05	2722500
APS	CTCP Chứng khoán Châu Á Thái Bình Dương	Asia - Pacific Securities Jsc	HNX	Financials	2010/04/19	26000000	2010/04/19			260,000,000,000	2009/06/24	26000000
ARM	CTCP Xuất nhập khẩu Hàng không (AIRIMEX)	General Aviation Import Export Jsc	HNX	Industrials	2010/10/26	2592740	2010/10/26			25,927,400,000	2010/10/26	2592740
ASA	Cổ phiếu CTCP Liên doanh SANA WMT	SANA WMT Joint Venture Jsc	HNX	Consumer Goods	2012/03/12	3000000	2012/03/12			30,000,000,000	2012/03/12	3000000
ASM	CTCP đầu tư và xây dựng Sao Mai tỉnh An Giang	Sao Mai Construction Corporation	HSX	Consumer Goods	2009/12/24	9912600	2010/01/18		1	99,126,000,000	2010/01/18	9912600
ASP	CTCP Tập đoàn Dầu khí An Pha	An Pha Petroleum Group Jsc	HSX	Utilities	2008/02/01	12600000	2008/02/15		1	126,000,000,000	2008/02/15	12600000
ATA	CTCP NTACO	Ntaco Co.	HSX	Consumer Goods	2009/08/26	10000000	2009/09/08		1	100,000,000,000	2009/09/08	10000000
AVF	CTCP Việt An	Anvifish Jsc 	HSX	Consumer Goods	2010/11/09	22500000	2010/11/23		1	225,000,000,000	2010/11/23	22500000
AVS	CTCP Chứng khoán Âu Việt	Au Viet Securities Corporation	HNX	Financials	2010/04/22	36000000	2010/04/22			360,000,000,000	2010/04/22	36000000
B82	CTCP 482	482 Jsc	HNX	Industrials	2008/03/17	1500000	2008/03/17			15,000,000,000	2008/03/17	1500000
BAS	CTCP Basa	BaSa Jsc	HSX	Consumer Goods	2008/11/11	9600000	2008/11/11			96,000,000,000	2008/11/11	9600000
BBC	CTCP Bibica	Bibica Corporation	HSX	Consumer Goods	2001/12/17	5600000	2001/12/19		1	56,000,000,000	2001/12/19	5600000
BBS	CTCP Bao bì Xi măng Bút Sơn	Butson Cement Packing Jsc	HNX	Industrials	2005/12/28	4000000	2005/12/28			40,000,000,000	2005/12/28	4000000
BCC	CTCP Xi măng Bỉm Sơn	Bimson Cement Jsc	HNX	Industrials	2006/11/24	90000000	2006/11/24			900,000,000,000	2006/11/27	90000000
BCE	CTCP Xây dựng và Giao thông Bình Dương	Binh Duong Construction And Civil Engineering Jsc. 	HSX	Industrials	2010/06/15	20000000	2010/06/28		1	200,000,000,000	2010/06/28	20000000
BCI	CTCP Đầu tư Xây dựng Bình Chánh	Binh Chanh Construction Investment Shareholding Company.	HSX	Financials	2008/12/25	54200000	2009/03/16		1	542,000,000,000	2009/03/16	54200000
BDB	CTCP Sách và Thiết bị Bình Định	Binh Đinh Book And Equipment Jsc	HNX	Consumer Services	2010/01/29	1126474	2010/01/29			11,264,740,000	2010/01/29	1126474
BED	CTCP Sách và Thiết bị trường học Đà Nẵng	Danang Books And School Equipment Jsc	HNX	Consumer Services	2009/10/21	3000000	2009/10/21			30,000,000,000	2009/10/21	3000000
BGM	CTCP Khai thác và chế biến Khoáng sản Bắc Giang	Bac Giang Exploitable Mineral Jsc 	HSX	Basic Materials	2011/06/06	16800000	2011/06/20		1	168,000,000,000	2011/06/20	16800000
BHC	CTCP Bê tông Biên Hòa	Bien Hoa Concrete Jsc	HNX	Industrials	2009/05/15	4500000	2009/05/15			45,000,000,000	2009/05/15	4500000
BHS	CTCP Đường Biên Hòa	Bien Hoa Sugar Jsc	HSX	Consumer Goods	2006/11/21	16200000	2006/12/20		1	162,000,000,000	2006/12/20	16200000
BHT	CTCP Đầu tư Xây dựng Bạch Đằng TMC	Bach Dang Tmc Construction Investment Jsc	HNX	Industrials	2010/12/21	2565000	2011/01/11		1	25,650,000,000	2011/01/11	2565000
BHV	CTCP Viglacera Bá Hiến	Viglacera Bahien Jsc	HNX	Industrials	2006/11/22	900000	2006/11/22			9,000,000,000	2006/11/22	900000
BIC	Tổng CTCP Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam	Bank For Invesment And Development Of Vietnam Insurance JCC	HSX	Financials	2011/06/20	66000000	2011/09/06		1	660,000,000,000	2011/09/06	66000000
BKC	CTCP Khoáng sản Bắc Kạn	Bac Kan Mineral JCC	HNX	Basic Materials	2009/08/18	3748300	2009/08/18			37,483,000,000	2009/08/18	3748300
BLF	CTCP Thủy sản Bạc Liêu	Bac Lieu Fisheries Jsc	HNX	Consumer Goods	2008/06/02	5000000	2008/06/02			50,000,000,000	2008/06/02	5000000
BMC	CTCP Khoáng sản Bình Định	Binh Dinh Minerals Company	HSX	Basic Materials	2006/12/12	1311400	2006/12/28		1	13,114,000,000	2006/12/28	1311400
BMI	Tổng CTCP Bảo Minh	Baominh Insurance Corporation	HSX	Financials	2006/11/28	75500000	2006/11/28			755,000,000,000	2006/11/28	43400000
BMJ	Khoáng sản Becamex	Becamex Mineral Jsc	UPC	Basic Materials	2009/12/22	6000000	2009/12/22			60,000,000,000	2009/12/22	6000000
BMP	CTCP Nhựa Bình Minh	Binh Minh Plastics Jsc	HSX	Industrials	2006/06/12	10718000	2006/07/11		1	107,180,000,000	2006/07/11	10718000
BPC	CTCP Bao bì Bỉm Sơn	Bimson Packing Company	HNX	Industrials	2002/03/08	3800000	2002/04/11		1	38,000,000,000	2002/04/11	3800000
BRC	CTCP Cao su Bến Thành	Ben Thanh Rubber Jsc	HSX	Basic Materials	2011/10/27	8249998	2011/12/13		1	82,499,980,000	2011/12/13	8249998
BSC	CTCP Dịch vụ Bến Thành	Ben Thanh Service Jsc	HNX	Consumer Services	2010/12/21	3000000	2011/01/05		1	30,000,000,000	2011/01/05	3000000
BSI	CTCP Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam	Bank For Invesment & Development Of Vietnam Securities Company	HSX	Financials	2011/07/18	86500000	2011/07/19		1	865,000,000,000	2011/07/19	86500000
BST	CTCP Sách thiết bị Bình Thuận	Binh Thuan Book And Equipment Jsc	HNX	Consumer Services	2008/12/18	1100000	2008/12/18			11,000,000,000	2008/12/18	1100000
BT6	CTCP Beton 6	Beton 6 Corporation	HSX	Industrials	2002/04/12	5882690	2002/04/18		1	58,826,900,000	2002/04/18	5882690
BTC	Cơ khí XD Bình Triệu	Binh Trieu Construction & Engineering Jsc	UPC	Industrials	2002/01/21	1351286	2009/07/28		1	13,512,860,000	2002/01/21	1351286
BTG	Bao bì Tiền Giang	Tien Giang Packaging Jsc	UPC	Industrials	2010/03/24	1190000	2010/03/24			11,900,000,000	2010/03/24	1190000
BTH	CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội	Ha Noi Transformer Manufacturing And Electric Material Jsc	HNX	Industrials	2008/01/04	3000000	2008/01/04			30,000,000,000	2008/01/04	3000000
BTP	CTCP Nhiệt điện Bà Rịa	Ba Ria Thermal Power Jsc	HSX	Utilities	2009/11/17	60485600	2009/11/25		1	604,856,000,000	2009/11/25	60485600
BTS	CTCP Xi măng Bút Sơn	Butson Cement Jsc	HNX	Industrials	2006/12/05	90000000	2006/12/05			900,000,000,000	2006/12/05	90000000
BTT	CTCP Thương Mại – Dịch vụ Bến Thành	Ben Thanh Trading & Service Jsc	HSX	Consumer Services	2010/03/04	8800000	2010/04/14		1	88,000,000,000	2010/04/14	8800000
BTW	Cấp nước Bến Thành	Ben Thanh Water Supply Jsc	UPC	Utilities	2010/03/04	9360000	2010/03/04			93,600,000,000	2010/03/04	9360000
BVG	CTCP Thép Bắc Việt	Bacviet Steel Jsc	HNX	Basic Materials	2010/08/09	9750948	2010/08/09			97,509,480,000	2010/08/09	9750948
BVH	Tập đoàn Bảo Việt	Bao Viet Holdings	HSX	Financials	2009/06/16	573026605	2009/06/25		1	5,730,266,050,000	2009/06/25	573026605
BVN	Vận tải thủy TKV	Vietnam Cotton Jsc	UPC	Consumer Goods	2011/10/11	5000000	2011/10/11			50,000,000,000	2011/10/11	5000000
BVS	CTCP Chứng khoán Bảo Việt	Bao Viet Securities Company	HNX	Financials	2006/12/18	15000000	2006/12/18			150,000,000,000	2006/12/18	15000000
BWA	Cấp thoát nước & XD Bảo Lộc	Bao Loc Supply Sewerage And Construction Jsc	UPC	Utilities	2010/06/14	2700000	2010/06/14			27,000,000,000	2010/06/14	2700000
BXD	QL Bến xe Đà Nẵng	Da Nang Transport & Admintration Parking Place.	UPC	Industrials	2010/09/09	1136500	2010/09/09			11,365,000,000	2010/09/09	1136500
BXH	CTCP Bao bì Xi măng Hải Phòng	Haiphong Cement Packing Jsc	HNX	Industrials	2009/11/25	3000000	2009/11/25			30,000,000,000	2009/11/25	3000000
C21	CTCP Thế kỷ 21	Century 21 Jsc 	HSX	Financials	2011/05/18	19336371	2011/05/18			193,363,710,000	2011/07/15	19336371
C32	Đầu tư Xây dựng 3-2	Construction Investment Corporation 3-2	UPC	Industrials	2010/10/13	11200000	2010/10/13			112,000,000,000	2010/10/13	11200000
C47	CTCP xây dựng 47	Construction Jsc 47	HSX	Industrials	2011/03/21	8000000	2011/03/30		1	80,000,000,000	2011/03/30	8000000
C92	CTCP Xây dựng và Đầu tư 492	Construction And Investment Jsc No. 492	HNX	Industrials	2007/11/19	1200000	2007/11/19			12,000,000,000	2007/11/19	1200000
CAD	CTCP Chế biến và Xuất nhập khẩu Thủy sản CADOVIMEX	Cadovimex Seafood Import-Export And Processing Jsc	HSX	Consumer Goods	2009/01/05	8000000	2009/01/05			80,000,000,000	2009/01/05	8000000
CAN	CTCP Đồ hộp Hạ Long	Halong Canned Food Jsc	HNX	Consumer Goods	2001/10/18	5000000	2001/10/22		1	50,000,000,000	2001/10/22	5000000
CAP	CTCP Lâm Nông sản Thực phẩm Yên Bái	Yen Bai Agro-Forestry Products And Foodstuff Corporation	HNX	Basic Materials	2008/01/09	1100000	2008/01/09			11,000,000,000	2008/01/09	1100000
CCI	CTCP đầu tư phát triển công nghiệp thương mại Củ Chi	Cuchi Commercial And Industrial Developing Invesment Jsc	HSX	Financials	2010/04/07	9000000	2010/04/15		1	90,000,000,000	2010/04/15	9000000
CCL	CTCP Đầu Tư và Phát Triển Đô thị Dầu Khí Cửu Long	Cuu Long Petro Urban Development &  Investment Corporation	HSX	Financials	2011/01/21	25000000	2011/03/03		1	250,000,000,000	2011/03/03	25000000
CCM	CTCP Khoáng sản và Xi măng Cần thơ	Can Tho Minerals And Cement Jsc	HNX	Industrials	2008/09/18	2750000	2008/09/18			27,500,000,000	2008/09/18	2750000
CDC	CTCP Chương Dương	Chuong Duong Corporation 	HSX	Industrials	2007/11/01	3600000	2007/11/01			36,000,000,000	2007/11/01	3600000
CFC	Cafico Việt Nam	Cafico Viet Nam Jsc	UPC	Consumer Goods	2009/06/24	1629120	2009/06/24			16,291,200,000	2009/06/24	1629120
CHP	Thủy điện Miền Trung	Central Hydropower Jsc	UPC	Utilities	2010/04/20	68884571	2010/04/20			688,845,710,000	2010/04/21	0
CI5	CTCP Đầu tư Xây dựng số 5	No.5 Construction Investment Jsc	UPC	Industrials	2011/07/01	1250000	2011/07/01			12,500,000,000	2011/07/01	1250000
CIC	CTCP Đầu tư và Xây dựng COTEC	Cotec Investment And Construction Jsc	HNX	Industrials	2006/12/29	888800	2006/12/29			8,888,000,000	2006/12/29	888800
CID	CTCP Xây dựng và Phát triển Cơ sở Hạ tầng	Construction And Infrastructure Development Jsc	HNX	Industrials	2005/07/14	541000	2005/07/14			5,410,000,000	2005/07/14	541000
CIG	CTCP COMA18	Coma 18 Jsc	HSX	Industrials	2011/07/01	12000000	2011/07/01			120,000,000,000	2011/07/19	12000000
CII	CTCP Đầu tư Hạ tầng Kỹ thuật TP.HCM	Hochiminh City Infrastructure Investment Jsc	HSX	Industrials	2006/02/24	30000000	2006/05/18		1	300,000,000,000	2006/05/18	30000000
CJC	CTCP Cơ điện Miền Trung	Central Area Electrical Mechanical Jsc	HNX	Industrials	2006/12/14	2000000	2006/12/14			20,000,000,000	2006/12/14	2000000
CKV	CTCP COKYVINA	Post And Telecommunication Trading Jsc	HNX	Technology	2010/03/11	4050000	2010/03/11			40,500,000,000	2010/03/11	4050000
CLC	CTCP Cát Lợi	Cat Loi Jsc	HSX	Consumer Goods	2006/10/18	8400000	2006/11/16		1	84,000,000,000	2006/11/16	8400000
CLG	CTCP Đầu tư và Phát triển Nhà đất Cotec	Cotec Investment And Land-House Development Jsc 	HSX	Financials	2010/07/30	10000000	2010/08/09		1	100,000,000,000	2010/08/09	10000000
CLS	Chứng khoán Chợ Lớn	Cho Lon Securities Jsc	UPC	Financials	2009/06/24	9000000	2009/06/24			90,000,000,000	2009/06/24	9000000
CLW	CTCP cấp nước Chợ Lớn	Cho Lon Water Supply Jsc 	HSX	Utilities	2010/10/20	13000000	2011/01/11		1	130,000,000,000	2011/01/11	13000000
CMC	CTCP Đầu tư CMC	Cmc Investment Jsc	HNX	Consumer Goods	2006/12/11	1520000	2006/12/11			15,200,000,000	2006/12/11	1520000
CMG	CTCP tập đoàn công nghệ CMC	Cmc Corporation	HSX	Technology	2010/01/13	63536267	2010/01/22		1	635,362,670,000	2010/01/22	63536267
CMI	CTCP Cavico Khoáng sản và Công nghiệp	Cavico Industry And Minerals Jsc	HNX	Basic Materials	2010/06/23	4702500	2010/06/23			47,025,000,000	2010/06/23	4702500
CMS	CTCP Cavico Xây dựng nhân lực và Dịch vụ	Cavico Construction Manpower And Services Jsc	HNX	Industrials	2010/11/29	2500000	2010/11/29			25,000,000,000	2010/11/29	2500000
CMT	CTCP Công nghệ mạng và truyền thông	Information And Networking Technology Jsc. 	HSX	Technology	2010/01/25	8000000	2010/03/11		1	80,000,000,000	2010/03/11	8000000
CMV	CTCP Thương nghiệp Cà Mau	Camau Trading Jsc.	HSX	Consumer Services	2010/06/09	8049986	2010/06/21		1	80,499,860,000	2010/06/21	8049986
CMX	CTCP chế biến thủy sản và xuất nhập khẩu Cà Mau	Ca Mau Frozen Seafood Processing Import Export Corporation	HSX	Consumer Goods	2010/11/02	11496797	2010/11/09		1	114,967,970,000	2010/11/09	11496797
CNG	CTCP CNG Việt Nam	CNG Viet Nam Jsc	HSX	Utilities	2011/11/14	20312038	2011/11/23		1	203,120,380,000	2011/11/23	20312038
CNT	CTCP Xây dựng và Kinh doanh Vật tư	Construction And Materials Trading Jsc	HSX	Industrials	2008/07/09	8000000	2008/07/28		1	80,000,000,000	2008/07/28	8000000
COM	CTCP Vật tư Xăng Dầu	Materials - Petroleum Jsc	HSX	Consumer Services	2006/05/12	3400000	2006/08/07		1	34,000,000,000	2006/08/07	3400000
CPC	CTCP Thuốc sát trùng Cần thơ	Can Tho Pesticides Jsc	HNX	Basic Materials	2010/01/18	4108800	2010/01/18			41,088,000,000	2010/01/18	4108800
CSC	CTCP Đầu tư và Xây dựng Thành Nam	Thanh Nam Construction And Investment Jsc	HNX	Financials	2009/11/04	2500000	2009/11/04			25,000,000,000	2009/11/04	2500000
CSG	CTCP Cáp Sài gòn	Sai Gon Cable Corporation	HSX	Technology	2008/05/06	29742020	2008/05/06			297,420,200,000	2008/05/06	29742020
CSM	CTCP Công nghiệp Cao su Miền Nam	The Southern Rubber Industry Jsc	HSX	Consumer Goods	2009/08/04	25000000	2009/08/11		1	250,000,000,000	2009/08/11	25000000
CT3	Xây dựng công trình 3	Project 3 Construction & Investment Jsc	UPC	Industrials	2009/11/20	2181209	2009/11/20			21,812,090,000	2009/11/20	2181209
CT6	CTCP Công trình 6	Construction Jsc No6	HNX	Industrials	2010/05/04	4437401	2010/05/04			44,374,010,000	2010/05/04	4437401
CTA	CTCP Vinavico	Vinavico Jsc	HNX	Industrials	2010/10/01	8000000	2010/10/01			80,000,000,000	2010/10/01	8000000
CTB	CTCP Chế tạo Bơm Hải Dương	Hai Duong Pump Manufacturing Jsc	HNX	Industrials	2006/10/10	1714330	2006/10/10			17,143,300,000	2006/10/10	1714330
CTC	CTCP Văn hoá Du lịch Gia Lai	Gia Lai Culture - Tourism Jsc	HNX	Consumer Services	2008/07/08	2376200	2008/07/18		1	23,762,000,000	2008/07/18	2376200
CTD	CTCP Xây dựng Cotec	Cotec Construction Jsc. 	HSX	Industrials	2009/12/09	18450000	2010/01/20		1	184,500,000,000	2010/01/20	18450000
CTG	Ngân hàng Thương mại Cổ phần Công Thương Việt Nam	Viet Nam Jscmmercial Bank For Industry And Trade	HSX	Banks	2009/07/09	121211780	2009/07/16		1	1,212,117,800,000	2009/07/16	121211780
CTI	CTCP Đầu tư Phát triển Cường Thuận IDICO	Cuongthuan Investment Corporation	HSX	Industrials	2010/02/10	15000000	2010/03/19		1	150,000,000,000	2010/03/19	15000000
CTM	CTCP Đầu tư Xây dựng và Khai thác Mỏ Vinavico	Vinavico Investment, Construction And Mining Jsc	HNX	Basic Materials	2009/08/07	2677800	2009/08/07			26,778,000,000	2009/08/07	2677800
CTN	CTCP Xây dựng Công trình Ngầm	Underground Works Construction Jsc	HNX	Industrials	2006/12/20	3000000	2006/12/20			30,000,000,000	2006/12/20	3000000
CTS	CTCP Chứng khoán Ngân hàng Công thương Việt Nam	Vietinbank Securities	HNX	Financials	2009/07/31	78993400	2009/07/31			789,934,000,000	2009/07/31	78993400
CTV	CTCP Đầu tư - Sản xuất và Thương mại Việt Nam	Viet Nam Investment - Production And Trading Jsc	HNX	Consumer Services	2011/09/09	2000000	2011/09/09			20,000,000,000	2011/09/09	2000000
CTX	Tổng CTCP Đầu tư xây dựng và Thương mại Việt Nam	Vietnam Investment Construction And Trading JCC	HNX	Industrials	2012/03/30	25453800	2012/05/24		1	254,538,000,000	2012/05/24	25453800
CVN	CTCP Vinam	Vinam Jsc	HNX	Industrials	2010/08/06	1000000	2010/08/06			10,000,000,000	2010/08/06	1000000
CVT	CTCP CMC	Cmc Jsc	HNX	Industrials	2009/11/05	4000000	2009/11/05			40,000,000,000	2009/11/05	4000000
CX8	CTCP Đầu tư và Xây lắp Constrexim Số 8	Constrexim No 8 Investment And Construction Jsc	HNX	Industrials	2010/05/19	1858960	2010/05/19			18,589,600,000	2010/05/19	1858960
CYC	CTCP Gạch men Chang Yih	Chang Yih Ceramic Jsc	HSX	Industrials	2006/06/21	1990530	2006/07/31		1	19,905,300,000	2006/07/31	1990530
CZC	CTCP Than Miền Trung	Vinacomin - Central Zone Coal Jsc	UPC	Basic Materials	2011/04/05	2667900	2011/04/05			26,679,000,000	2011/04/05	2667900
D11	CTCP Địa ốc 11	Real Estate 11 Jsc	HNX	Financials	2011/01/06	2600000	2011/02/25		1	26,000,000,000	2011/02/25	2600000
D26	Than Miền Trung - TKV	Road Management  & Construction Jsc 26	UPC	Industrials	2011/01/10	1000000	2011/01/10			10,000,000,000	2011/01/10	1000000
D2D	CTCP Phát triển Đô thị Công Nghiệp Số 2	Industrial Urban Development Jsc No.2	HSX	Financials	2009/06/24	10700000	2009/08/14		1	107,000,000,000	2009/08/14	10700000
DAC	CTCP Viglacera Đông Anh	Viglacera Dong Anh Jsc	HNX	Industrials	2006/09/20	750000	2006/09/20			7,500,000,000	2006/09/20	750000
DAD	CTCP Đầu tư và Phát triển Giáo dục Đà Nẵng	Da Nang Education Development And Investment Jsc	HNX	Consumer Services	2009/08/19	5000000	2009/08/19			50,000,000,000	2009/08/19	5000000
DAE	CTCP Sách Giáo dục tại Tp.Đà Nẵng	Educational Book Jsc In Da Nang City	HNX	Consumer Services	2006/12/28	500000	2006/12/28			5,000,000,000	2006/12/28	500000
DAG	CTCP Tập Đoàn Nhựa Đông Á	Dong A Plastic Group Joint – Stock Company	HSX	Basic Materials	2010/03/01	10000000	2010/04/08		1	100,000,000,000	2010/04/08	10000000
DAP	Bao bì Đông Á	Dong A Jsc	UPC	Industrials	2010/05/04	1200000	2010/05/04			12,000,000,000	2010/05/04	1200000
DBC	CTCP Tập đoàn Dabaco Việt Nam	Dabaco Vietnam Corporation	HNX	Consumer Goods	2008/03/18	7000000	2008/03/18			70,000,000,000	2008/03/18	7000000
DBF	Lương thực Đông Bắc	North East Food Jsc	UPC	Consumer Goods	2010/06/21	3679200	2010/06/21			36,792,000,000	2010/06/21	3679200
DBM	BAMEPHARM	Dak Lak Pharmaceutical & Midecal Equipment Jsc	UPC	Health Care	2009/12/17	1294392	2009/12/17			12,943,920,000	2009/12/17	1294392
DBT	CTCP Dược phẩm Bến Tre	Ben Tre Pharmaceutical Jsc	HNX	Health Care	2009/10/30	3000000	2009/10/30			30,000,000,000	2009/10/30	3000000
DC2	CTCP Đầu tư Phát triển - Xây dựng (DIC) số 2	Development Investment Construction Number 2 Jsc	HNX	Industrials	2010/07/02	1100000	2010/07/02			11,000,000,000	2010/07/02	1100000
DC4	CTCP DIC số 4	Dic No.4 Jsc	HNX	Industrials	2008/11/03	2000000	2008/11/03			20,000,000,000	2008/11/03	2000000
DCC	CTCP Xây dựng Công nghiệp DESCON	Industry Construction Corporation	HSX	Industrials	2007/11/27	10300000	2007/12/12		1	103,000,000,000	2007/12/12	10300000
DCL	CTCP Dược phẩm Cửu Long	Cuu Long Pharmaceutical JCC	HSX	Health Care	2008/09/03	8100000	2008/09/17		1	81,000,000,000	2008/09/17	8100000
DCS	CTCP Tập đoàn Đại Châu	Dai Chau Jsc	HNX	Consumer Goods	2007/12/17	2000000	2007/12/17			20,000,000,000	2007/12/17	2000000
DCT	CTCP Tấm lợp Vật liệu Xây dựng Đồng Nai	Dong Nai Roofsheet And Construction Material Jsc	HSX	Industrials	2006/09/21	12097346	2006/10/10		1	120,973,460,000	2006/10/10	12097346
DDM	CTCP Hàng hải Đông Đô	Dong Do Marine Jsc	HSX	Industrials	2008/07/08	8920000	2008/07/22		1	89,200,000,000	2008/07/22	8920000
DDN	Dược - TB Y tế Đà Nẵng	Danang Pharmaceutical Medical Equipment Jsc	UPC	Health Care	2009/06/24	2800000	2009/06/24			28,000,000,000	2009/06/24	2800000
DGT	Công trình GT Đồng Nai	Dong Nai Transportation Works Shareholding Company	UPC	Industrials	2010/03/09	2481000	2010/03/09			24,810,000,000	2010/03/09	2481000
DHA	CTCP Hóa An	Hoa An Jsc	HSX	Industrials	2004/04/12	3849962	2004/04/14		1	38,499,620,000	2004/04/14	3849962
DHC	CTCP Đông hải Bến Tre	Dong Hai Jsc Of Bentre	HSX	Basic Materials	2009/06/18	8000000	2009/07/23		1	80,000,000,000	2009/07/23	8000000
DHG	CTCP Dược Hậu Giang	Hau Giang Pharmaceutical Jsc	HSX	Health Care	2006/12/01	8000000	2006/12/21		1	80,000,000,000	2006/12/21	8000000
DHI	CTCP In Diên Hồng	Dien Hong Printing Jsc	HNX	Consumer Services	2006/12/04	1000000	2006/12/04			10,000,000,000	2006/12/04	1000000
DHL	CTCP Cơ khí Vận tải Thương mại Đại Hưng	Dai Hung Mechanic Transport Trading Jsc	HNX	Industrials	2012/05/30	5500000	2012/06/06		1	55,000,000,000	2012/06/06	5500000
DHM	CTCP Thương Mại và Khai thác Khoáng sản Dương Hiếu	Duong Hieu Trading and Mining Jsc	HSX	Basic Materials	2012/07/11	16000000	2012/07/24		1	160,000,000,000	2012/07/24	16000000
DHT	CTCP Dược phẩm Hà Tây	Ha Tay Pharmaceutical Jsc	HNX	Health Care	2008/12/03	4122602	2008/12/03			41,226,020,000	2008/12/03	4122602
