ticker	yyyymmdd	exc_pref	exc_pcei	exc_pflr	exc_popn	exc_pcls	exc_phgh	exc_plow	exc_pbase	exc_pvlm	exc_ptrn	exc_capi
CTN	20121024	4200	4400	4000	4200	4200	4200	4200	4200	2100	8820	26298678000
CTS	20121024	6600	7000	6200	6500	6500	6500	6400	6500	29000	188000	505072100000
CTV	20121024	4000	4200	3800	0	0	0	0	4000	0	0	8000000000
CTX	20121024	6700	7100	6300	7100	7100	7100	7100	7100	300	2130	187111980000
CVN	20121024	7400	7900	6900	7000	7000	7400	6900	6900	93500	659560	22425000000
CVT	20121024	9100	9700	8500	8900	8900	8900	8900	8900	400	3560	69367490000
CX8	20121024	3300	3500	3100	0	0	0	0	3300	0	0	6457440000
D11	20121024	10800	11500	10100	10500	10500	10500	10500	10500	100	1050	38219947500
DAC	20121024	15000	16000	14000	0	0	0	0	15000	0	0	15074610000
DAD	20121024	7600	8100	7100	0	0	0	0	7600	0	0	35409920000
DAE	20121024	9000	9600	8400	9100	9100	9100	9100	9100	2500	22750	13637988000
DBC	20121024	20400	21800	19000	20500	20400	20500	20300	20300	11900	242120	982722188000
DBT	20121024	16300	17400	15200	0	0	0	0	16300	0	0	48060550000
DC2	20121024	6600	7000	6200	0	0	0	0	6600	0	0	16632000000
DC4	20121024	6500	6900	6100	6500	6500	6500	6500	6500	1800	11700	31853250000
DCS	20121024	3500	3700	3300	3500	3500	3500	3400	3500	146900	502930	117248946500
DHI	20121024	4900	5200	4600	0	0	0	0	4900	0	0	12877405800
DHL	20121024	5600	5900	5300	5500	5600	5600	5300	5600	13100	70420	30800000000
DHT	20121024	28900	30900	26900	0	0	0	0	28900	0	0	181332414200
DID	20121024	4900	5200	4600	0	0	0	0	4900	0	0	24500000000
DIH	20121024	9900	10500	9300	10000	10000	10000	10000	10000	3500	35000	29058420000
DL1	20121024	9200	9800	8600	9400	9200	9400	9200	9200	1100	10140	22852211200
DLR	20121024	8800	9400	8200	0	0	0	0	8800	0	0	39600000000
DNC	20121024	9700	10300	9100	0	0	0	0	9700	0	0	21337060900
DNM	20121024	10300	11000	9600	10900	10700	10900	10700	10700	400	4320	25803157000
DNP	20121024	14600	15600	13600	0	0	0	0	14600	0	0	49860854200
DNY	20121024	6700	7100	6300	6500	6700	6700	6500	6700	7000	45950	134000000000
DPC	20121024	11200	11900	10500	11200	11200	11200	11200	11200	1000	11200	25057536000
DST	20121024	2900	3100	2700	2700	3100	3100	2700	3100	900	2470	3100000000
DTC	20121024	5000	5300	4700	0	0	0	0	5000	0	0	20000000000
DXP	20121024	27500	29400	25600	27500	27800	27900	27500	27800	8500	234290	218924221600
DZM	20121024	5300	5600	5000	0	0	0	0	5300	0	0	28598720500
EBS	20121024	7600	8100	7100	7800	7700	7900	7500	7700	154000	1177550	70830636800
ECI	20121024	9300	9900	8700	9700	9700	9700	9700	9700	200	1940	17072000000
EFI	20121024	5700	6000	5400	5700	5600	5800	5600	5600	39600	225190	60155200000
EID	20121024	8400	8900	7900	8200	8200	8200	8100	8200	1100	8940	119462520000
FDT	20121024	20300	21700	18900	0	0	0	0	20300	0	0	62006350000
FLC	20121024	7600	8100	7100	7600	7100	7600	7100	7100	1587900	11508620	547978000000
GBS	20121024	12000	12800	11200	0	0	0	0	12000	0	0	162000000000
GFC	20121024	7900	8400	7400	0	0	0	0	7900	0	0	66992000000
GGG	20121024	1400	1500	1300	1300	1400	1400	1300	1400	11000	14400	12848039400
GLT	20121024	11800	12600	11000	0	0	0	0	11800	0	0	108297992800
GMX	20121024	11200	11900	10500	0	0	0	0	11200	0	0	59521817600
HAD	20121024	24200	25800	22600	0	0	0	0	24200	0	0	96800000000
HAT	20121024	19900	21200	18600	0	0	0	0	19900	0	0	62147700000
HBD	20121024	10500	11200	9800	10500	10500	10500	10500	10500	1300	13650	14997150000
HBE	20121024	5400	5700	5100	0	0	0	0	5400	0	0	12047713200
HBS	20121024	6900	7300	6500	6900	6900	6900	6800	6900	1200	8180	227699862000
HCC	20121024	10000	10700	9300	9900	9900	9900	9900	9900	2200	21780	36337781700
HCT	20121024	5700	6000	5400	0	0	0	0	5700	0	0	11493394500
HDA	20121024	8700	9300	8100	0	0	0	0	8700	0	0	19140000000
HDO	20121024	5900	6300	5500	5900	5800	5900	5600	5800	30300	173230	54055298200
HEV	20121024	9800	10400	9200	0	0	0	0	9800	0	0	9800000000
HGM	20121024	84000	89800	78200	0	0	0	0	84000	0	0	529200000000
HHC	20121024	14000	14900	13100	14000	14000	14000	14000	14000	400	5600	114975000000
HHG	20121024	2300	2400	2200	2200	2300	2300	2200	2300	6400	14110	29020480000
HHL	20121024	1800	1900	1700	0	0	0	0	1800	0	0	4946886000
HJS	20121024	7100	7500	6700	7000	7000	7100	6900	7000	32100	223020	104999923000
HLC	20121024	8900	9500	8300	9400	9400	9400	9400	9400	100	940	112383345000
HLY	20121024	8700	9300	8100	0	0	0	0	8700	0	0	8699173500
HMH	20121024	13700	14600	12800	13800	13700	13800	13300	13700	1200	16050	97850825200
HNM	20121024	4400	4700	4100	0	0	0	0	4400	0	0	55000000000
HOM	20121024	5200	5500	4900	5200	5300	5300	5200	5300	23200	120740	366911580000
HPB	20121024	9600	10200	9000	0	0	0	0	9600	0	0	35109120000
HPC	20121024	3600	3800	3400	3500	3600	3600	3400	3500	72900	254050	138927460000
HPR	20121024	9800	10400	9200	9900	9900	9900	9900	9900	300	2970	47520000000
HPS	20121024	7000	7400	6600	0	0	0	0	7000	0	0	10956750000
HST	20121024	4000	4200	3800	4000	4000	4000	4000	4000	1000	4000	5953760000
HTB	20121024	36300	38800	33800	0	0	0	0	36300	0	0	65340000000
HTC	20121024	13800	14700	12900	13400	13400	13400	13400	13400	34100	456940	70350000000
HTP	20121024	4900	5200	4600	4900	4900	4900	4900	4900	2300	11270	8063342000
HUT	20121024	7700	8200	7200	7600	7700	7800	7600	7700	126400	973390	269481520000
HVT	20121024	8600	9200	8000	0	0	0	0	8600	0	0	62214223200
ICG	20121024	5500	5800	5200	5500	5500	5500	5300	5500	41900	227890	110000000000
IDJ	20121024	3500	3700	3300	3400	3400	3400	3300	3300	194600	661090	107580000000
IDV	20121024	27000	28800	25200	0	0	0	0	27000	0	0	98127450000
ILC	20121024	4900	5200	4600	4900	4900	4900	4900	4900	3500	17150	19858386800
INC	20121024	3700	3900	3500	0	0	0	0	3700	0	0	7400000000
INN	20121024	11500	12300	10700	10900	10900	10900	10900	10900	200	2180	58860000000
ITQ	20121024	14800	15800	13800	14800	14900	14900	14800	14900	7100	105290	149000000000
IVS	20121024	4200	4400	4000	4300	4300	4400	4200	4200	40100	169040	67620000000
KBT	20121024	18000	19200	16800	0	0	0	0	18000	0	0	54030582000
KHB	20121024	3200	3400	3000	3100	3100	3200	3000	3100	21700	66570	19437000000
KHL	20121024	2800	2900	2700	2900	2900	2900	2900	2900	100	290	16240000000
KKC	20121024	8500	9000	8000	8300	8500	8500	8300	8500	3500	29650	39884550000
KLS	20121024	7800	8300	7300	7800	7800	7900	7700	7700	1085100	8436120	1559250000000
KMT	20121024	4500	4800	4200	0	0	0	0	4500	0	0	44309529000
KSD	20121024	1700	1800	1600	1700	1700	1700	1600	1700	175000	280330	20400000000
KST	20121024	5300	5600	5000	0	0	0	0	5300	0	0	15878853000
KTS	20121024	33700	36000	31400	0	0	0	0	33700	0	0	131430000000
KTT	20121024	2200	2300	2100	2100	2300	2300	2100	2300	4600	9780	6612500000
L14	20121024	5100	5400	4800	0	0	0	0	5100	0	0	14688000000
L18	20121024	9400	10000	8800	0	0	0	0	9400	0	0	50760000000
L35	20121024	6500	6900	6100	0	0	0	0	6500	0	0	21223507500
L43	20121024	6200	6600	5800	6100	6000	6100	6000	6000	4000	24100	21000000000
L44	20121024	6600	7000	6200	0	0	0	0	6600	0	0	26268000000
L61	20121024	7600	8100	7100	7400	7600	7600	7400	7600	1500	11300	53314000000
L62	20121024	8000	8500	7500	0	0	0	0	8000	0	0	45934536000
LAS	20121024	27700	29600	25800	27700	27600	27700	27600	27600	151900	4192540	1790136000000
LBE	20121024	8500	9000	8000	0	0	0	0	8500	0	0	9315150000
LCD	20121024	7500	8000	7000	0	0	0	0	7500	0	0	10125000000
LCS	20121024	7800	8300	7300	7800	7600	7800	7500	7600	5000	38170	45600000000
LDP	20121024	25000	26700	23300	24200	24200	24200	24200	24200	1000	24200	82279007800
LHC	20121024	26200	28000	24400	26100	25900	26100	25900	25900	1100	28650	48355300000
LIG	20121024	6600	7000	6200	6700	6700	6700	6400	6600	300	1980	73498920000
LM3	20121024	2500	2600	2400	2500	2500	2500	2500	2500	200	500	12875000000
LM7	20121024	3400	3600	3200	3500	3200	3500	3200	3200	300	1020	16000000000
LO5	20121024	3700	3900	3500	0	0	0	0	3700	0	0	18500000000
LTC	20121024	4600	4900	4300	4600	4500	4600	4500	4500	200	910	20637000000
LUT	20121024	6600	7000	6200	6500	6800	6900	6400	6800	8100	54230	101728000000
MAC	20121024	3500	3700	3300	3400	3400	3400	3400	3400	500	1700	18699357400
MAX	20121024	5700	6000	5400	5800	5400	5900	5400	5500	73500	415400	39600000000
MCC	20121024	15800	16900	14700	0	0	0	0	15800	0	0	73285140000
MCF	20121024	11800	12600	11000	0	0	0	0	11800	0	0	94400000000
MCL	20121024	1600	1700	1500	1700	1500	1700	1500	1500	200	320	3330000000
MCO	20121024	3500	3700	3300	0	0	0	0	3500	0	0	14363751500
MDC	20121024	9500	10100	8900	9500	9600	9600	9500	9600	4300	41150	144805939200
MEC	20121024	4100	4300	3900	4100	4000	4200	4000	4100	2100	8580	28700000000
MHL	20121024	8300	8800	7800	0	0	0	0	8300	0	0	31822615000
MIC	20121024	11600	12400	10800	0	0	0	0	11600	0	0	63286363600
MIH	20121024	11400	12100	10700	11300	11300	11300	11300	11300	100	1130	42714000000
MIM	20121024	7100	7500	6700	0	0	0	0	7100	0	0	24210006000
MKV	20121024	7700	8200	7200	0	0	0	0	7700	0	0	8651427400
MMC	20121024	8400	8900	7900	0	0	0	0	8400	0	0	26544000000
MNC	20121024	3000	3200	2800	3100	3100	3100	3100	3100	100	310	25014851700
NAG	20121024	3500	3700	3300	3300	3400	3400	3300	3400	3200	10580	50488558400
NBC	20121024	11400	12100	10700	11300	11300	11300	11300	11300	19900	224870	225993265200
NBP	20121024	16000	17100	14900	14900	14900	14900	14900	14900	1000	14900	191695950000
NDN	20121024	5000	5300	4700	5000	4900	5000	4800	4900	59200	292470	54236728000
NET	20121024	39200	41900	36500	0	0	0	0	39200	0	0	313578283200
NGC	20121024	11300	12000	10600	0	0	0	0	11300	0	0	13560000000
NHA	20121024	4000	4200	3800	4000	4000	4000	4000	4000	3100	12400	35340000000
NHC	20121024	18000	19200	16800	0	0	0	0	18000	0	0	26484210000
NIS	20121024	5800	6200	5400	0	0	0	0	5800	0	0	17400000000
NLC	20121024	13300	14200	12400	13300	13300	13300	13300	13300	2000	26600	66500000000
NPS	20121024	12000	12800	11200	0	0	0	0	12000	0	0	26040000000
NSN	20121024	2400	2500	2300	0	0	0	0	2400	0	0	7102353600
NST	20121024	9300	9900	8700	8700	8700	8700	8700	8700	1000	8700	60144257100
NTP	20121024	30500	32600	28400	30500	30700	30700	29600	30700	6200	189410	1330476477200
NVB	20121024	6900	7300	6500	6800	7000	7100	6500	7000	2900	19710	2083686864000
NVC	20121024	1100	1200	1000	1100	1100	1100	1000	1100	46100	46460	16500000000
OCH	20121024	17600	18800	16400	17600	17700	17700	17600	17700	12500	220350	1770000000000
ONE	20121024	6300	6700	5900	6300	6400	6400	6300	6400	1800	11350	31519360000
ORS	20121024	2000	2100	1900	2000	2100	2100	2000	2000	41100	82260	48000000000
PCG	20121024	4000	4200	3800	4000	4200	4200	4000	4200	900	3620	79254000000
PCT	20121024	2700	2800	2600	2700	2600	2700	2600	2600	21700	57520	59800000000
PDC	20121024	3000	3200	2800	3200	3200	3200	3200	3200	13900	44480	48000000000
PFL	20121024	2400	2500	2300	2300	2300	2400	2300	2300	164200	377680	115000000000
PGS	20121024	17400	18600	16200	17500	17300	17500	17200	17400	349900	6065900	661200000000
PGT	20121024	3100	3300	2900	3100	3100	3100	3000	3000	31100	93480	27725403000
PHC	20121024	3400	3600	3200	3400	3400	3400	3200	3400	1800	5820	37025921800
PHH	20121024	4200	4400	4000	4000	4000	4200	4000	4000	1500	6020	72856000000
PHS	20121024	2900	3100	2700	3100	3100	3100	3000	3100	4900	15180	93000000000
PIV	20121024	4100	4300	3900	0	0	0	0	4100	0	0	4920000000
PJC	20121024	11800	12600	11000	0	0	0	0	11800	0	0	36890340000
PLC	20121024	15700	16700	14700	15200	15300	15300	15100	15300	5800	88020	921643006500
PMC	20121024	24400	26100	22700	24700	24700	24700	24700	24700	100	2470	159942231800
PMS	20121024	5600	5900	5300	5300	5300	5300	5300	5300	100	530	38169391600
POT	20121024	7600	8100	7100	7500	7800	7800	7500	7800	1100	8280	150433498800
PPE	20121024	4700	5000	4400	0	0	0	0	4700	0	0	9400000000
PPG	20121024	5100	5400	4800	4800	4800	4800	4800	4800	5000	24000	33884160000
PPP	20121024	8000	8500	7500	8000	7900	8000	7900	7900	400	3190	18450450000
PPS	20121024	9500	10100	8900	9300	9200	9500	9100	9200	117100	1087380	138000000000
PRC	20121024	7000	7400	6600	0	0	0	0	7000	0	0	8252230000
PSC	20121024	8900	9500	8300	0	0	0	0	8900	0	0	42720000000
PSG	20121024	1100	1200	1000	1200	1200	1200	1100	1200	66400	73480	42000000000
PSI	20121024	3800	4000	3600	3700	3700	3700	3600	3700	18700	68740	221412810000
PTI	20121024	10000	10700	9300	10100	10200	10200	10100	10200	16600	168340	514036231800
PTM	20121024	7400	7900	6900	0	0	0	0	7400	0	0	31080000000
PTS	20121024	5800	6200	5400	6000	6000	6000	6000	6000	1000	6000	33408000000
PV2	20121024	4400	4700	4100	4500	4400	4600	4300	4400	127200	570970	162222720000
PVA	20121024	5000	5300	4700	4900	4700	5000	4700	4800	136600	655340	104860800000
PVC	20121024	12600	13400	11800	12500	12600	12600	12400	12600	56200	703090	441000000000
PVE	20121024	8900	9500	8300	8900	8900	8900	8800	8900	9200	81130	222500000000
PVG	20121024	8400	8900	7900	8300	8400	8400	8200	8300	45300	376660	230074755000
PVI	20121024	15500	16500	14500	15500	15600	15600	15500	15600	28700	445650	3532947085200
PVL	20121024	3000	3200	2800	3000	2800	3000	2800	2800	527700	1491820	140000000000
PVR	20121024	3600	3800	3400	3800	3500	3800	3500	3500	1000	3540	181673495500
PVS	20121024	15200	16200	14200	15200	15200	15200	15000	15200	176800	2669950	4526591828800
PVV	20121024	2700	2800	2600	2800	2800	2800	2800	2800	34500	96600	84000000000
PVX	20121024	4500	4800	4200	4500	4400	4600	4300	4400	1992500	8791370	1760000000000
PXA	20121024	2700	2800	2600	2700	2600	2700	2600	2600	71800	189390	39000000000
QCC	20121024	3200	3400	3000	3000	3000	3000	3000	3000	100	300	4500000000
QHD	20121024	5300	5600	5000	0	0	0	0	5300	0	0	22524475300
QNC	20121024	6000	6400	5600	6000	6000	6000	6000	6000	8500	51000	110298654000
QST	20121024	8600	9200	8000	0	0	0	0	8600	0	0	11610000000
QTC	20121024	20000	21400	18600	20000	20000	20000	20000	20000	100	2000	24000000000
RCL	20121024	16500	17600	15400	16600	17300	17300	16400	16600	1600	26520	74692579800
RHC	20121024	11300	12000	10600	11500	11400	11500	11400	11400	2800	32130	58368000000
S12	20121024	2800	2900	2700	2700	2700	2700	2700	2700	400	1080	13500000000
S27	20121024	2200	2300	2100	0	0	0	0	2200	0	0	3460232600
S55	20121024	22700	24200	21200	22800	21200	23200	21200	21200	10400	237560	52790120000
S74	20121024	6900	7300	6500	0	0	0	0	6900	0	0	41400000000
S91	20121024	4900	5200	4600	4800	5100	5100	4800	5100	2500	12050	14994000000
S96	20121024	2800	2900	2700	2900	2700	2900	2700	2700	13900	37900	30119936400
S99	20121024	4000	4200	3800	4000	3900	4000	3900	3900	1800	7040	48738023100
SAF	20121024	23200	24800	21600	0	0	0	0	23200	0	0	105462026400
SAP	20121024	16400	17500	15300	0	0	0	0	16400	0	0	21106537600
SCC	20121024	3600	3800	3400	0	0	0	0	3600	0	0	6795360000
SCJ	20121024	5900	6300	5500	5700	5900	5900	5600	5900	4900	27550	57572200000
SCL	20121024	3300	3500	3100	3100	3200	3200	3100	3200	7200	22390	28800000000
SCR	20121024	6100	6500	5700	6000	5900	6100	5900	6000	2077500	12389910	857999166000
SD1	20121024	2600	2700	2500	2600	2600	2700	2600	2600	12000	32100	13000000000
SD2	20121024	6200	6600	5800	6000	6200	6200	6000	6200	13500	82220	74400000000
SD3	20121024	1400	1500	1300	1300	1400	1500	1300	1400	198800	273760	22399098400
SD4	20121024	3800	4000	3600	3600	3800	3800	3600	3700	200	740	38110000000
SD5	20121024	12000	12800	11200	11900	12500	12500	11800	12000	27500	327700	108000000000
SD6	20121024	5100	5400	4800	5200	5300	5300	5200	5300	18900	98800	101885668300
SD7	20121024	5900	6300	5500	6000	6000	6000	6000	6000	100	600	54000000000
SD8	20121024	2600	2700	2500	0	0	0	0	2600	0	0	7280000000
SD9	20121024	6700	7100	6300	6600	6700	6700	6600	6700	26400	174290	195975000000
SDA	20121024	4900	5200	4600	4800	4900	4900	4800	4900	1100	5290	64205964200
SDB	20121024	2100	2200	2000	0	0	0	0	2100	0	0	23100000000
SDC	20121024	7500	8000	7000	0	0	0	0	7500	0	0	19572360000
SDD	20121024	2800	2900	2700	2800	2800	2900	2800	2800	54400	152330	44820535200
SDE	20121024	9300	9900	8700	8700	8700	8700	8700	8700	100	870	15234526500
SDG	20121024	27900	29800	26000	0	0	0	0	27900	0	0	181349916300
SDH	20121024	3300	3500	3100	3400	3300	3500	3200	3300	246300	817070	67780350000
SDJ	20121024	1400	1500	1300	1300	1300	1300	1300	1300	9300	12090	5646810000
SDN	20121024	8800	9400	8200	0	0	0	0	8800	0	0	13360318400
SDP	20121024	3300	3500	3100	3400	3500	3500	3400	3500	71400	248490	38900652000
SDT	20121024	11100	11800	10400	10900	10900	11000	10800	10900	18500	200750	229554000000
SDU	20121024	6100	6500	5700	5700	5700	5700	5700	5700	100	570	114000000000
SDY	20121024	1800	1900	1700	1900	1900	1900	1900	1900	600	1140	8550000000
SEB	20121024	22000	23500	20500	22100	22300	22300	22100	22300	2000	44310	278638500000
SED	20121024	9500	10100	8900	9500	9600	9600	9500	9600	8500	80760	76800000000
SEL	20121024	6600	7000	6200	6200	6200	6200	6200	6200	100	620	31000000000
SFN	20121024	8900	9500	8300	0	0	0	0	8900	0	0	25490935000
SGC	20121024	16600	17700	15500	0	0	0	0	16600	0	0	118649828000
SGD	20121024	7900	8400	7400	7400	7400	7400	7400	7400	500	3700	24831440000
SGH	20121024	67000	71600	62400	0	0	0	0	67000	0	0	118342100000
SHB	20121024	6100	6500	5700	6100	6000	6100	6000	6000	561400	3410000	5316500166000
SHC	20121024	2400	2500	2300	2300	2300	2300	2300	2300	300	690	9911965000
SHN	20121024	1000	1100	900	1000	1000	1000	900	900	192500	190480	29208024000
SHS	20121024	4300	4600	4000	4200	4100	4300	4100	4200	512300	2134460	419349000000
SIC	20121024	5600	5900	5300	5800	5800	5800	5800	5800	200	1160	46399965200
SJ1	20121024	21000	22400	19600	0	0	0	0	21000	0	0	80850000000
SJC	20121024	7900	8400	7400	7900	7500	7900	7500	7500	11200	88400	31860787500
SJE	20121024	7200	7700	6700	7200	7100	7700	7100	7100	38900	294510	56705548700
SJM	20121024	2300	2400	2200	0	0	0	0	2300	0	0	11500000000
SKS	20121024	6200	6600	5800	6200	6200	6200	6000	6200	800	4860	27900000000
SLS	20121024	30600	32700	28500	28700	28700	28700	28700	28700	600	17220	195160000000
SME	20121024	300	400	200	0	0	0	0	300	0	0	6750000000
SMT	20121024	4800	5100	4500	0	0	0	0	4800	0	0	14072275200
SNG	20121024	12900	13800	12000	12700	12700	12900	12700	12700	3900	49550	58526172000
SPI	20121024	8300	8800	7800	8300	8300	8300	8300	8300	11000	91300	20750000000
SPP	20121024	6300	6700	5900	0	0	0	0	6300	0	0	75371877000
SQC	20121024	79600	85100	74100	79600	79600	79600	79600	79600	100	7960	8756000000000
SRA	20121024	3400	3600	3200	0	0	0	0	3400	0	0	6800000000
SRB	20121024	2200	2300	2100	2100	2200	2200	2100	2200	5100	10980	18700000000
SSG	20121024	4000	4200	3800	0	0	0	0	4000	0	0	19924760000
SSM	20121024	6000	6400	5600	5600	6100	6100	5600	6100	700	3970	30179609700
STC	20121024	9200	9800	8600	9800	9300	9800	9300	9400	2300	21510	50581682000
STL	20121024	3800	4000	3600	3800	3800	3800	3600	3800	13200	49700	57000000000
STP	20121024	8700	9300	8100	8700	8800	8800	8600	8800	5600	48510	58439040000
SVN	20121024	44500	47600	41400	0	0	0	0	44500	0	0	133500000000
SVS	20121024	2600	2700	2500	2500	2700	2700	2500	2700	300	790	36450000000
TAG	20121024	25500	27200	23800	0	0	0	0	25500	0	0	310124905500
TAS	20121024	2100	2200	2000	0	0	0	0	2100	0	0	29189895000
TBX	20121024	8700	9300	8100	0	0	0	0	8700	0	0	13139436000
TC6	20121024	11400	12100	10700	11300	11300	11400	11300	11300	14700	166160	146885242200
TCS	20121024	11400	12100	10700	11400	11400	11500	11300	11400	29600	337170	170991210600
TCT	20121024	73900	79000	68800	73900	74800	74800	73900	74800	5500	408240	239135600000
TDN	20121024	11100	11800	10400	10700	10500	11000	10500	10600	47600	507790	169600000000
TET	20121024	15000	16000	14000	0	0	0	0	15000	0	0	85544100000
TH1	20121024	26000	27800	24200	26000	26500	26500	26000	26500	17000	447250	333762624000
THB	20121024	10600	11300	9900	10700	10700	10700	10700	10700	100	1070	122242899000
THT	20121024	10400	11100	9700	10400	10200	10400	10100	10200	91500	937160	139227327600
THV	20121024	1000	1100	900	1100	1000	1100	900	1000	540100	557970	57749995000
TIG	20121024	3300	3500	3100	3500	3100	3500	3100	3100	4900	15250	51150000000
TJC	20121024	2500	2600	2400	0	0	0	0	2500	0	0	15000000000
TKC	20121024	4400	4700	4100	4400	4500	4500	4400	4500	200	890	43905222000
TKU	20121024	4700	5000	4400	0	0	0	0	4700	0	0	114585746200
TLC	20121024	1500	1600	1400	1400	1600	1600	1400	1500	500	760	16620000000
TLT	20121024	1800	1900	1700	1900	1900	1900	1900	1900	100	190	13280620000
TMC	20121024	11500	12300	10700	0	0	0	0	11500	0	0	142600000000
TMX	20121024	5400	5700	5100	0	0	0	0	5400	0	0	32400000000
TNG	20121024	6500	6900	6100	6600	6600	6600	6600	6600	100	660	88844745000
TPH	20121024	4900	5200	4600	4600	4600	4600	4600	4600	300	1380	9273531000
TPP	20121024	8100	8600	7600	8300	8300	8300	8300	8300	100	830	33200000000
TSB	20121024	4700	5000	4400	0	0	0	0	4700	0	0	31703756000
TSM	20121024	8700	9300	8100	0	0	0	0	8700	0	0	25544418000
TST	20121024	3900	4100	3700	3700	4000	4000	3700	3900	18500	68510	18720000000
TTC	20121024	4600	4900	4300	4500	4400	4500	4400	4400	8200	36190	26138323200
TV2	20121024	10500	11200	9800	0	0	0	0	10500	0	0	46184250000
TV3	20121024	11300	12000	10600	0	0	0	0	11300	0	0	38205141800
TV4	20121024	7400	7900	6900	7400	7900	7900	7400	7900	600	4490	47730172600
TVD	20121024	8400	8900	7900	8100	7900	8200	7900	7900	8400	67280	197478322400
TXM	20121024	3000	3200	2800	2900	2900	2900	2900	2900	2300	6670	20300000000
