CODE	VN_NAME	EN_NAME	MARKET	INDUSTRY	IPO	IPO_SHARES	FTRD_DATE	FTRD_CLS
SGD	CTCP Sách giáo Dục tại Tp.HCM	Educational Book Jsc In Ho Chi Minh City	HNX	Consumer Services	2006/12/28	4137000	2006/12/28	
SGH	CTCP Khách sạn Sài Gòn	Saigon Hotel Corporation	HNX	Consumer Services	2001/07/12	1766300	2001/07/16	
SGS	Vận tải biển Sài Gòn	Saigon Shipping Jsc	UPC	Industrials	2010/12/22	14420000	2010/12/22	
SGT	CTCP Công nghệ Viễn thông Sài Gòn	Sai Gon Telecommunication & Technologies Corporation	HSX	Technology	2008/01/10	74001914	2008/01/18	
SHB	Ngân hàng TMCP Sài Gòn - Hà Nội	Sai Gon - Hanoi Commercial Joint Stock Bank	HNX	Banks	2009/04/20	481579547	2009/04/20	
SHC	CTCP Hàng hải Sài Gòn	Sai Gon Maritime Jsc. Ltd	HNX	Industrials	2006/08/05	4309550	2006/08/15	
SHI	CTCP Quốc tế Sơn Hà	Son Ha International Corporation	HSX	Basic Materials	2009/12/23	26710723	2009/12/30	
SHN	CTCP Đầu tư Tổng hợp Hà Nội	Hanoi Investment General Corporation	HNX	Industrials	2009/12/16	32453360	2009/12/16	
SHP	Thủy điện Miền Nam	Southern Hydropower Jsc	UPC	Utilities	2010/09/10	85311344	2010/09/10	
SHS	CTCP Chứng khoán Sài Gòn Hà Nội	Saigon - Hanoi Securitities Jsc	HNX	Financials	2009/06/25	100000000	2009/06/25	
SHV	Thủy sản Hải Việt	Hai Viet Corporation	UPC	Consumer Goods	2010/08/27	6263720	2010/08/27	
SIC	CTCP Đầu tư - Phát triển Sông Đà	Song Da Investment - Development Jsc	HNX	Industrials	2006/12/27	8000000	2006/12/27	
SII	CTCP Đầu tư Hạ tầng Bất động sản Sài Gòn	Saigon Infastruction Real Estate Investement Jsc	HSX	Financials	2012/08/22	40000000	2012/09/12	
SJ1	CTCP Thủy sản Số 1	Seafood Jsc No 1	HNX	Consumer Goods	2006/12/29	3850000	2006/12/29	
SJC	CTCP Sông Đà 1.01	Song Da 1.01 Jsc	HNX	Industrials	2007/11/21	4468905	2007/11/21	
SJD	CTCP Thủy điện Cần Đơn	Can Don Hydro Power Jsc	HSX	Utilities	2006/12/11	35879150	2006/12/25	
SJE	CTCP Sông Đà 11	Song Da No 11 Jsc	HNX	Industrials	2006/12/14	7996897	2006/12/14	
SJM	CTCP Sông Đà 19	Song Da No. 19 Jsc	HNX	Industrials	2008/01/10	5000000	2008/01/10	
SJS	CTCP Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà	Song Da Urban & Industrial Zone Investment And Development Jsc	HSX	Financials	2006/05/11	100000000	2006/07/06	
SKS	CTCP Công trình Giao thông Sông Đà	Song Da Transportation Construction Jsc	HNX	Industrials	2009/04/17	4500000	2009/04/17	
SMA	CTCP Thiết bị Phụ tùng Sài Gòn	Sài Gòn Machinery Spare Parts Jsc	HSX	Industrials	2010/09/23	16120000	2010/10/19	
SMB	Bia Sài Gòn - Miền Trung	Sai Gon - Mien Trung Beer Jsc	UPC	Consumer Goods	2010/09/08	29846648	2010/09/08	
SMC	CTCP Đầu tư Thương mại SMC	Smc Investment Trading Jsc	HSX	Basic Materials	2006/09/29	29518361	2006/10/30	
SME	CTCP Chứng khoán SME	Sme Securities Corporation	HNX	Financials	2010/04/07	22500000	2010/04/07	
SMT	CTCP Vật liệu Điện và Viễn thông Sam Cường	Sam Cuong Material Electric And Telecom Corporation	HNX	Technology	2010/07/30	2931724	2010/07/30	
SNG	CTCP Sông Đà 10.1	Song Da No 10.1 Jsc	HNX	Industrials	2006/12/25	4663060	2006/12/25	
SPC	BV Thực vật Sài Gòn	Sai Gon Plant Protection Jsc	UPC	Basic Materials	2010/09/09	10530000	2010/09/09	
SPD	Thủy sản Miền Trung	Da Nang Seaproduct Import - Export Corporation	UPC	Consumer Goods	2010/04/22	10000000	2010/04/22	
SPM	CTCP SPM	S.P.M Corporation	HSX	Health Care	2010/05/07	14000000	2010/05/21	
SPP	CTCP Bao bì Nhựa Sài Gòn	Saigon Plastic Packaging Jsc	HNX	Industrials	2008/09/25	12499990	2008/09/25	
SQC	CTCP Khoáng sản Sài Gòn - Quy Nhơn	Sai Gon – Quy Nhon Mining Corporation	HNX	Basic Materials	2009/12/17	110000000	2009/12/17	
SRA	CTCP SARA Việt Nam	Sara Vietnam Jsc	HNX	Technology	2008/01/18	2000000	2008/01/18	
SRB	CTCP Tập đoàn SARA	Sara Jsc	HNX	Technology	2008/03/17	8500000	2008/03/17	
SRC	CTCP Cao Su Sao Vàng	Sao Vang Rubber Jsc	HSX	Consumer Goods	2009/09/23	16200000	2009/10/07	
SRF	CTCP Kỹ Nghệ Lạnh	Seaprodex Refrigeration Industry Corporation	HSX	Industrials	2009/10/05	8132046	2009/10/21	
SSC	CTCP Giống Cây trồng Miền Nam	Southern Seed Corporation	HSX	Consumer Goods	2004/12/29	14992367	2005/03/01	
SSF	Giày Sài Gòn	Saigon Shoes Jsc	UPC	Consumer Goods	2010/04/20	1600000	2010/04/20	
SSG	CTCP Vận tải biển Hải Âu	Seagull Shipping Company	HNX	Industrials	2010/12/28	5000000	2011/01/05	
SSI	CTCP Chứng khoán Sài Gòn	Sai Gon Securities Incorporation	HSX	Financials	2006/12/15	352611742	2006/12/15	
SSM	CTCP Chế tạo Kết cấu Thép VNECO.SSM	Steel Structure Manufacture Jsc	HNX	Basic Materials	2008/11/17	5501024	2008/11/17	
SSS	CTCP Sông Đà 6.06	Song Da 6.06 Jsc	HNX	Industrials	2007/08/28	2500000	2007/08/28	
ST8	CTCP Siêu Thanh	Sieu Thanh JCC	HSX	Technology	2007/12/10	11957902	2007/12/18	
STB	Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín	Sai Gon Thuong Tin Commercial Joint Stock Bank	HSX	Banks	2006/06/02	1073967664	2006/07/12	
STC	CTCP Sách và Thiết bị Trường học Tp. Hồ Chí Minh	Book And Educational Equipment Jsc In Ho Chi Minh City	HNX	Consumer Services	2006/12/27	5665530	2006/12/27	
STG	CTCP Kho Vận Miền Nam	South Logistics Jsc	HSX	Industrials	2010/02/04	8351857	2010/03/02	
STL	CTCP Sông Đà - Thăng Long	Song Da - Thang Long Jsc	HNX	Financials	2008/09/23	15000000	2008/09/23	
STP	CTCP Công nghiệp Thương mại Sông Đà	Song Da Industry Trade Jsc	HNX	Industrials	2006/10/09	7000000	2006/10/09	
STS	Dịch vụ vận tải Sài Gòn	Sai Gon Transport Agency Jsc	UPC	Industrials	2010/03/30	2768221	2010/03/30	
STT	CTCP Vận chuyển Sài Gòn Tourist	Saigontourist Transport Corporation	HSX	Consumer Services	2011/05/12	8000000	2011/07/08	
STU	Môi trường & CT Đô thị Sơn Tây	Sontay Urban Construction And Environment Jsc	UPC	Industrials	2010/10/19	1876000	2010/10/19	
STV	CTCP Chế tác Đá Việt Nam	VietNam Stone Work - Top Fabrication JSC	UPC	Industrials	2011/12/15	4102500	2011/12/15	
SVC	CTCP Dịch vụ Tổng hợp Sài Gòn	Saigon General Service Corporation	HSX	Consumer Goods	2009/05/27	24995573	2009/06/01	
SVI	CTCP Bao Bì Biên Hòa	Bien Hoa Packaging Comapny	HSX	Industrials	2008/12/22	8918990	2008/03/12	
SVN	CTCP SOLAVINA	Solavina Jsc	HNX	Industrials	2011/07/26	3000000	2011/07/26	
SVS	CTCP Chứng khoán Sao Việt	Viet Star Securities Corporation	HNX	Financials	2010/07/07	13500000	2010/07/07	
SVT	CTCP Công nghệ Sài Gòn Viễn Đông	Sai Gon Vien Dongtechnology ,. Jsc	HSX	Basic Materials	2011/07/26	8700000	2011/10/05	
SWC	Dịch vụ Sonadezi	Southern Waterborne Transport Corporation	UPC	Industrials	2011/04/29	67100000	2011/04/29	
SZL	CTCP Sonadezi Long Thành	Sonadezi Long Thanh	HSX	Financials	2008/08/15	20000000	2008/09/09	
TAC	CTCP Dầu thực vật Tường An	Tuong An Vegetable Oil Jsc	HSX	Consumer Goods	2006/12/06	18980200	2006/12/26	
TAG	CTCP Thế giới số Trần Anh	Tran Anh Digital World Jsc	HNX	Industrials	2010/01/12	12399016	2010/01/12	
TAS	CTCP Chứng khoán Tràng An	Trang An Securities Jsc	HNX	Financials	2010/02/22	13900000	2010/02/22	
TBC	CTCP Thủy điện Thác Bà	Thac Ba Hydropower Jsc	HSX	Utilities	2006/03/31	63500000	2006/08/29	
TBT	XD Công trình GT Bến Tre	Ben Tre Transportation Work Construction Jsc	UPC	Industrials	2010/03/01	1656470	2010/03/01	
TBX	CTCP Xi măng Thái Bình	Thai Binh Cement Jsc	HNX	Industrials	2008/11/18	1510280	2008/11/18	
TC6	CTCP Than cọc Sáu – TKV	Vinacomin Coc Sau Coal Jsc	HNX	Basic Materials	2008/06/26	12998694	2008/06/26	
TCL	CTCP Đai lý Giao nhận Vận tải Xếp dỡ Tân Cảng	Tan Cang Logistics And Stevedoring Jsc	HSX	Industrials	2009/12/11	20943893	2009/12/24	
TCM	CTCP Dệt may - Đầu tư - Thương mại Thành Công	Thanh Cong Textile Garment Investment Trading Jsc	HSX	Consumer Goods	2007/10/05	44737486	2007/10/15	
TCO	CTCP Vận tải Đa phương thức Duyên Hải	Duyen Hai Multi Modal Transport Jsc	HSX	Industrials	2012/02/08	12870000	2012/02/27	
TCR	CTCP Công nghiệp Gốm sứ TAICERA	Taicera Enterprise Company	HSX	Industrials	2006/12/26	9873874	2006/12/29	
TCS	CTCP Than Cao Sơn - TKV	Vinacomin - Caoson Coal Jsc	HNX	Basic Materials	2008/11/21	14999229	2008/11/21	
TCT	CTCP Cáp treo Núi Bà Tây Ninh	Tay Ninh Cable Car Tour Jsc	HNX	Consumer Services	2006/12/06	3197000	2006/12/06	
TDC	CTCP Kinh doanh và Phát triển Bình Dương	Binh Duong Trade And Development Jsc	HSX	Industrials	2010/04/16	100000000	2010/05/04	
TDH	CTCP Phát triển Nhà Thủ Đức	Thu Duc Housing Development Corporation	HSX	Financials	2006/11/23	37875000	2006/12/14	
TDN	CTCP Than Đèo Nai - TKV	Vinacomin - Deonai Coal Jsc	HNX	Basic Materials	2008/11/21	16000000	2008/11/21	
TDS	Đường Sông Miền Nam	Thu Duc Steel Jsc	UPC	Basic Materials	2011/10/06	12225393	2011/10/06	
TDW	CTCP Cấp Nước Thủ Đức	Thu Duc Water Supply Jsc 	HSX	Utilities	2010/09/17	8500000	2010/11/11	
TET	CTCP Vải sợi May mặc Miền Bắc	Northern Textiles And Garments Jsc (Textaco)	HNX	Consumer Goods	2010/04/28	5702940	2010/04/28	
TGP	Cáp Trường Phú	Truong Phu Corporation	UPC	Industrials	2009/06/24	10000000	2009/06/24	
TH1	CTCP Xuất nhập khẩu Tổng hợp I Việt Nam	The Vietnam National General Export - Import Jsc No.1	HNX	Consumer Services	2009/11/11	12594857	2009/11/11	
THB	CTCP Bia Thanh Hóa	Thanh Hoa Beer Jsc	HNX	Consumer Goods	2008/11/19	11424570	2008/11/19	
THG	CTCP Đầu tư và Xây dựng Tiền Giang	Tien Giang Investment And Construction Jsc	HSX	Industrials	2011/04/28	8000000	2011/07/28	
THT	CTCP Than Hà Tu - TKV	Vinacomin - Ha Tu Coal Jsc	HNX	Basic Materials	2008/10/24	13649738	2008/10/24	
THV	CTCP Tập đoàn Thái Hòa Việt Nam	Thai Hoa Viet Nam Group Jsc	HNX	Consumer Goods	2010/12/03	57749995	2010/12/03	
TIC	CTCP Đầu tư Điện Tây nguyên	Tay Nguyen Electricity Investment Jsc	HSX	Utilities	2009/10/01	24656988	2009/10/12	
TIE	CTCP TIE	Telecommunications Industry Electronics Jsc	HSX	Industrials	2009/11/16	9569900	2009/12/11	
TIG	CTCP Tập đoàn Đầu tư Thăng Long	Thanglong Investment Group Jsc	HNX	Financials	2010/10/08	16500000	2010/10/08	
TIS	CTCP Gang thép Thái Nguyên	Thai Nguyen Iron And Steel Jsc	UPC	Basic Materials	2011/03/24	184000000	2011/03/24	
TIX	CTCP Sản xuất Kinh doanh XNK Dịch vụ và Đầu tư Tân Bình	Tan Binh Import – Export Jsc	HSX	Financials	2009/11/17	24000000	2009/11/25	
TJC	CTCP Dịch vụ Vận tải và Thương mại	Transportation And Trading Services Jsc 	HNX	Industrials	2007/12/17	6000000	2007/12/17	
TKC	CTCP Xây dựng và Kinh doanh Địa ốc Tân Kỷ (Takco)	Tan Ky Construction And Real Estate Trading Corporation	HNX	Industrials	2009/12/01	10406716	2009/12/01	
TKU	CTCP Công nghiệp Tung Kuang	Tung Kuang Industrial Jsc	HNX	Industrials	2006/06/26	24379946	2006/06/26	
TLC	CTCP Viễn thông Thăng Long	Thang Long Telecommunications Jsc	HNX	Technology	2006/12/28	11100000	2006/12/28	
TLG	CTCP Tập Đoàn Thiên Long	Thien Long Group Corporation	HSX	Consumer Goods	2010/02/02	17650000	2010/03/26	
TLH	CTCP Tập Đoàn Thép Tiến Lên	Tien Len Steel Corporation Joint - Stock Company	HSX	Basic Materials	2010/03/04	57706814	2010/03/16	
TLT	CTCP Viglacera Thăng Long	Viglacera Thanglong Ceramic Tiles Jsc	HNX	Industrials	2006/12/08	6989800	2006/12/08	
TMC	CTCP Thương mại Xuất nhập Khẩu Thủ Đức	Thu Duc Trading And Import – Export Jsc	HNX	Utilities	2006/12/26	12400000	2006/12/26	
TMP	CTCP Thủy điện Thác Mơ	Thac Mo Hydro Power Jsc	HSX	Utilities	2009/06/08	70000000	2009/06/18	
TMS	CTCP Kho vận Giao nhận Ngoại thương TP.HCM	Transforwarding Warehousing JCC	HSX	Industrials	2000/08/02	23073824	2000/08/04	
TMT	CTCP ô tô TMT	Tmt Automobile Jsc. 	HSX	Consumer Goods	2010/01/15	28450236	2010/01/22	
TMW	Gỗ Tân Mai	Tan Mai General Wood Jsc	UPC	Consumer Goods	2009/12/23	4662350	2009/12/23	
TMX	CTCP Thương mại xi măng	Cement Trading Jsc	HNX	Industrials	2009/11/02	6000000	2009/11/02	
TNA	CTCP Thương mại Xuất nhập khẩu Thiên Nam	Thien Nam Trading Import Export Corporation	HSX	Consumer Goods	2005/05/04	8000000	2005/07/20	
TNB	Thép Nhà Bè	Nha Be Steel Jsc	UPC	Basic Materials	2010/04/16	11500000	2010/04/16	
TNC	CTCP Cao su Thống nhất	Thong Nhat Rubber Jsc	HSX	Basic Materials	2007/08/07	19250000	2007/08/22	
TNG	CTCP Đầu tư và Thương mại TNG	Tng Investment And Trading Jsc	HNX	Consumer Goods	2007/11/22	13461325	2007/11/22	
TNM	XNK và XD Công trình	Tranimex Transportation Import - Export & Contruction Jsc	UPC	Industrials	2009/10/27	3800000	2009/10/27	
TNT	CTCP Tài Nguyên	Tai Nguyen Corporation	HSX	Basic Materials	2010/05/14	8500000	2010/05/21	
TNY	Gang thép Thái Nguyên	Youth Investment Construction Corporation	UPC	Industrials	2011/06/15	1800000	2011/06/15	
TPC	CTCP Nhựa Tân Đại Hưng	Tan Dai Hung Plastic Jsc	HSX	Basic Materials	2007/11/20	24430596	2007/11/28	
TPH	Cty CP In Sách giáo Khoa tại Tp.Hà Nội	Hanoi Textbooks Printing Jsc	HNX	Consumer Services	2006/12/15	2015985	2006/12/15	
TPP	CTCP Nhựa Tân Phú	Tan Phu Plastic Jsc	HNX	Basic Materials	2008/07/21	4000000	2008/09/26	
TRA	CTCP TRAPHACO	Traphaco Jsc	HSX	Health Care	2008/11/12	12339824	2008/11/26	
TRC	CTCP Cao su Tây Ninh	Tay Ninh Rubber Jsc	HSX	Basic Materials	2007/07/17	30000000	2007/07/24	
TRI	CTCP Nước giải khát Sài Gòn	Sai Gon Beverages Jsc	HSX	Consumer Goods	2001/11/26	27548360	2001/12/28	
TS4	CTCP Thủy sản số 4	Seafood Jsc No4	HSX	Consumer Goods	2002/07/01	11500000	2002/08/08	
TSB	CTCP Ắc quy Tia Sáng	Tia Sang Battery  Jsc	HNX	Industrials	2011/01/19	6745480	2011/01/19	
TSC	CTCP Vật tư Kỹ thuật Nông nghiệp Cần Thơ	Techno - Agricultural Supplying Jsc	HSX	Basic Materials	2007/09/24	8312915	2007/10/04	
TSM	CTCP Xi măng Tiên Sơn Hà Tây	Tien Son Cement Jsc	HNX	Industrials	2010/07/02	2936140	2010/07/02	
TST	CTCP Dịch vụ Kỹ thuật Viễn thông	Telecommunication Technical Service Jsc	HNX	Technology	2007/12/13	4800000	2007/12/13	
TTC	CTCP Gạch men Thanh Thanh	Thanh Thanh Jsc	HNX	Industrials	2006/07/18	5992348	2006/08/08	
TTF	CTCP Tập Đoàn Kỹ nghệ Gỗ Trường Thành	Truong Thanh Furniture Corporation	HSX	Basic Materials	2008/02/01	39373606	2008/02/18	
TTG	May Thanh Trì	Thanh Tri Garment Jsc	UPC	Consumer Goods	2010/02/02	2000000	2010/02/02	
TTP	CTCP Bao bì Nhựa Tân Tiến	Tan Tien Plastic Packaging Jsc	HSX	Industrials	2006/11/09	14999998	2006/12/05	
TTR	Tracotour	Tourism Trade & Investment Jsc	UPC	Consumer Services	2009/12/04	1993393	2009/12/04	
TV1	CTCP Tư vấn Xây dựng Điện 1	Power Engineering Consulting Jsc 1 	HSX	Industrials	2010/09/14	23010536	2010/09/23	
TV2	CTCP Tư vấn Xây dựng Điện 2	Power Engineering Consulting Jsc No.2	HNX	Industrials	2009/10/13	4439000	2009/10/13	
TV3	CTCP Tư vấn Xây dựng Điện 3	Power Engineering Consulting Jsc	HNX	Industrials	2009/12/01	3381000	2009/12/01	
TV4	CTCP Tư vấn Xây dựng Điện 4	Power Engineering Consulting Jsc No.4	HNX	Industrials	2008/07/22	6105942	2008/07/22	
TVD	CTCP Than Vàng Danh - TKV	Vinacomin - Vangdanh Coal Jsc	HNX	Basic Materials	2011/01/11	24997256	2011/01/11	
TVG	XD Giao thông Vận tải	Transport Investment & Construction Consultant Jsc	UPC	Industrials	2010/01/25	2029589	2010/01/25	
TXM	Cty CP Thạch cao Xi Măng	Gypsum And Cement Jsc	HNX	Industrials	2006/12/11	7000000	2006/12/11	
TYA	CTCP Dây và Cáp điện Taya Việt Nam	Taya (Vietnam) Electric Wire And Cable Jsc	HSX	Industrials	2005/12/02	5578493	2006/02/15	
UDC	CTCP Xây dựng và Phát triển Đô thị Tỉnh Bà Rịa - Vũng Tàu	Urban Development And Construction Corporation	HSX	Industrials	2010/06/28	35000000	2010/07/05	
UDJ	Becamex UDJ	Becamex Urban Development Jsc	UPC	Industrials	2009/12/22	16500000	2009/12/22	
UIC	CTCP Đầu tư Phát triển Nhà và Đô thị Idico	Idico Urban And House Development Jsc	HSX	Industrials	2007/10/31	8000000	2007/11/12	
UNI	CTCP Viễn Liên	Vien Lien Jsc	HNX	Technology	2006/07/03	9484468	2006/07/03	
V11	CTCP Xây dựng số 11	Construction Jsc No 11	HNX	Financials	2008/12/01	8399889	2008/12/15	
V12	CTCP Xây dựng số 12	Construction Jsc No 12	HNX	Industrials	2010/01/05	5818000	2010/01/05	
V15	CTCP Xây dựng số 15	Vinaconex 15 Jsc	HNX	Industrials	2009/12/17	10000000	2009/12/17	
V21	CTCP Vinaconex 21	Vietnam Construction Jsc No.21	HNX	Industrials	2010/04/21	1700000	2010/04/21	
VAT	CTCP Viễn thông Vạn Xuân	Van Xuan Telecom Jsc	HNX	Technology	2010/12/15	1200000	2010/12/15	
VBC	CTCP Nhựa - Bao bì Vinh	Vinh Plastic And Bags Jsc	HNX	Industrials	2010/03/17	2999989	2010/03/17	
VBH	Cty CP Điện tử Bình Hoà	Viettronics Binh Hoa Jsc	HNX	Industrials	2006/12/29	2900000	2006/12/29	
VC1	CTCP Xây dựng số 1	Construction Jsc No 1	HNX	Industrials	2009/05/14	7400000	2009/05/14	
VC2	Cty CP Xây dựng số 2	Vietnam Construction Jsc No. 2	HNX	Industrials	2006/12/11	12000000	2006/12/11	
VC3	CTCP Xây dựng số 3	Construction Jsc No. 3	HNX	Financials	2007/12/13	8000000	2007/12/13	
VC5	CTCP Xây dựng số 5	Construction Jsc No.5	HNX	Industrials	2008/01/16	5000000	2008/01/16	
VC6	CTCP Vinaconex 6	Vinaconex 6 Jsc	HNX	Industrials	2008/01/28	8000000	2008/01/28	
VC7	CTCP Xây dựng Số 7	No7 Vietnam Construction Jsc	HNX	Industrials	2007/12/28	8000000	2007/12/28	
VC9	CTCP Xây dựng số 9	Construction Jsc No.9	HNX	Industrials	2009/11/05	12000000	2009/11/05	
VCA	CTCP Thép Biên Hòa	Bien Hoa Steel Jsc	UPC	Basic Materials	2011/02/21	15187322	2011/02/21	
VCB	Ngân hàng TMCP Ngoại Thương Việt Nam	Jscmmercial Bank For Foreign Trade Of Viet Nam	HSX	Banks	2009/06/12	2317417076	2009/06/30	
VCC	CTCP Vinaconex 25	Vinaconex 25 Jsc	HNX	Industrials	2009/02/05	6000000	2009/02/05	
VCF	CTCP VINACAFÉ Biên Hòa	Vinacafe Bienhoa Jsc	HSX	Consumer Goods	2011/01/21	26579135	2011/01/28	
VCG	Tổng CTCP Xuất nhập Khẩu và Xây dựng Việt Nam	Vietnam Construction And Import-Export JCC	HNX	Industrials	2008/09/05	441710673	2008/09/05	
VCH	CTCP Đầu tư xây dựng và Phát triển Hạ tầng Vinaconex	Vinaconex Infrastructure Development And Construction Investment Jsc	HNX	Industrials	2010/07/21	4000000	2010/07/21	
VCM	CTCP Nhân lực và Thương mại Vinaconex	Vinaconex Trading And Manpower Joint	HNX	Industrials	2010/05/11	3000000	2010/05/11	
VCR	CTCP Đầu tư và Phát triển Du lịch Vinaconex	Vinaconex Investment And Tourism Development Jsc	HNX	Financials	2010/05/10	36000000	2010/05/10	
VCS	CTCP Đá ốp Lát cao Cấp Vinaconex	Vinaconex Advanced Compound Stone Jsc 	HNX	Industrials	2007/12/17	52999251	2007/12/17	
VCT	Tư vấn XD Vinaconex	Vinaconex’S Construction Consultant Jsc	UPC	Industrials	2010/07/15	1100000	2010/07/15	
VCV	CTCP Vận tải Vinaconex	Vinaconex Transportation Jsc	HNX	Industrials	2010/08/05	11007183	2010/08/05	
VDL	CTCP Thực phẩm Lâm Đồng	Lamdong Foodstuffs Jsc	HNX	Consumer Goods	2007/11/27	3128840	2007/11/27	
VDN	Vinatex Đà Nẵng	Vinatex Da Nang Jsc	UPC	Consumer Goods	2010/07/15	2000000	2010/07/15	
VDS	CTCP Chứng khoán Rồng Việt	Viet Dragon Securities Corporation	HNX	Financials	2010/05/25	34979987	2010/05/25	
VDT	Thép Biên Hòa	Binh Tay Steel Wire Netting Jsc	UPC	Basic Materials	2011/03/01	1965440	2011/03/01	
VE1	CTCP Xây dựng Điện Vneco 1	Vneco 1 Electricity Construction Jsc	HNX	Industrials	2008/09/04	3000000	2008/09/04	
VE2	CTCP Xây dựng Điện Vneco2	Vietnam Electricity Construction 2 Jsc	HNX	Industrials	2010/07/26	2158880	2010/07/26	
VE3	Cổ phiếu CTCP Xây dựng điện VNECO 3	Vneco 3 Electricity Construction Jsc	HNX	Industrials	2010/06/30	1319710	2010/06/30	
VE8	CTCP Xây dựng Điện VNECO 8	Vneco 8 Electricity Construction JCC	HNX	Industrials	2012/07/24	1800000	2012/08/27	
VE9	CTCP Đầu tư và xây dựng VNECO 9	Vneco 9 Electricity Construction Jsc	HNX	Industrials	2008/01/23	7200088	2008/01/23	
VES	CTCP Đầu tư và Xây dựng Điện MêCa VNECO	Meca Vneco Investment And Electricity Construction Jsc	HSX	Industrials	2010/04/02	9007500	2010/04/14	
VFC	CTCP Vinafco	Vinafco JCC 	HSX	Industrials	2006/06/26	34000000	2006/07/24	
VFG	CTCP Khử trùng Việt Nam	Viet Nam Fumigation Jsc	HSX	Basic Materials	2009/12/11	12972753	2009/12/17	
VFR	CTCP Vận tải Thuê tàu	Transport And Chartering Corporation	HNX	Industrials	2006/12/28	15000000	2006/12/28	
VGP	CTCP Cảng rau Quả	The Vegetexco Port Jsc	HNX	Industrials	2006/11/29	8214692	2006/12/21	
VGS	CTCP Ống thép Việt Đức VG PIPE	Vietnam Germany Steel Pipe Jsc	HNX	Basic Materials	2008/12/04	37599710	2008/12/04	
VHC	CTCP Vĩnh Hoàn	Vinh Hoan Corporation	HSX	Consumer Goods	2007/12/07	47151273	2007/12/24	
VHF	Chế biến lương thực Vĩnh Hà	Vinh Ha Food Processing & Construction Jsc	UPC	Consumer Goods	2010/05/07	21500000	2010/05/07	
VHG	CTCP Đầu tư và Sản xuất Việt Hàn	Viet - Han Corporation	HSX	Industrials	2008/01/09	25000000	2008/01/28	
VHH	CTCP Đầu tư Xây dựng Viwaseen – Huế	Viwaseen - Hue Investment And Construction Jsc	HNX	Industrials	2010/07/28	6000000	2010/07/28	
VHL	CTCP Viglacera Hạ Long	Viglacera Ha Long Jsc	HNX	Industrials	2009/02/12	9000000	2009/02/12	
VIA	CTCP VIAN	Vian Jsc	UPC	Consumer Goods	2010/04/20	1200000	2010/04/20	
VIC	Tập Đoàn VINGROUP - CTCP	Vincom Jsc	HSX	Financials	2007/09/07	700462055	2007/09/19	
VID	CTCP Đầu tư Phát triển Thương mại Viễn Đông	Vien Dong Investment Development Trading Corporation	HSX	Basic Materials	2006/07/12	25522767	2006/12/25	
VIE	CTCP Công nghệ Viễn thông VITECO	Viteco Vietnam Telecommunications Technology Jsc	HNX	Technology	2011/05/06	1561244	2011/05/06	
VIG	CTCP Chứng khoán Thương mại và Công nghiệp Việt Nam	Viet Nam Industrial & Commercial Securities Corporation	HNX	Financials	2009/12/01	34133300	2009/12/01	
VIP	CTCP Vận tải Xăng dầu Vipco	Viet Nam Petroleum Transport Jsc	HSX	Industrials	2006/11/09	59807785	2006/12/21	
VIR	Du lịch Vũng Tàu	Vung Tau Intourco Resort Jsc	UPC	Consumer Services	2010/07/01	8240000	2010/07/01	
VIS	CTCP Thép Việt Ý	Viet Nam – Italy Steel Jsc	HSX	Basic Materials	2006/12/07	49220262	2006/12/25	
VIT	CTCP Viglacera Tiên Sơn	Viglacera Tien Son Jsc	HNX	Industrials	2009/11/03	9900000	2009/11/03	
VIX	CTCP Chứng khoán Xuân Thành	Vincom Securities Jsc	HNX	Financials	2009/12/29	30000000	2009/12/29	
VKC	CTCP Cáp-Nhựa Vĩnh Khánh	Vinhkhanh Cable Plastic Corporation	HNX	Consumer Goods	2010/12/08	13000000	2010/12/08	
VKD	Nước khoáng Khánh Hòa	Khanh Hoa Mineral Water Jsc	UPC	Consumer Goods	2010/04/12	2160000	2010/04/12	
VKP	CTCP Nhựa Tân Hóa	Viky Plastic Jsc	HSX	Basic Materials	2008/03/31	8000000	2008/06/19	
VLA	CTCP Đầu tư và Phát triển Công nghệ Văn Lang	Van Lang Technology Development And Investment Jsc	HNX	Technology	2010/08/04	1080000	2010/08/04	
VLF	CTCP Lương thực Thực phẩm Vĩnh Long	Vinh Long Cereal And Food Import Export Company 	HSX	Consumer Goods	2010/12/10	10400000	2010/12/21	
VMC	CTCP Vimeco	Vimeco Jsc	HNX	Industrials	2006/12/11	6500000	2006/12/11	
VMD	CTCP Y dược phẩm Vimedimex	Vimedimex Medi – Pharma Jsc	HSX	Health Care	2010/08/17	8440268	2010/09/30	
VMG	CTCP Thương mại và Dịch vụ Dầu khí Vũng Tàu	Vung Tau Petroleum Trading And Service Jsc	HNX	Utilities	2009/09/30	9600000	2009/09/30	
VNA	CTCP Vận tải Biển Vinaship	Vinaship Jsc	HSX	Industrials	2008/08/20	20000000	2008/09/09	
VNC	CTCP Tập đoàn Vinacontrol	The Vietnam Superintendence And Inspection Jsc	HNX	Industrials	2006/12/21	7875000	2006/12/21	
VND	CTCP Chứng khoán VNDIRECT	Vndirect Securities Corporation	HNX	Financials	2010/03/30	99999000	2010/03/30	
