CODE	VN_NAME	EN_NAME	MARKET	INDUSTRY	IPO	IPO_SHARES	FTRD_DATE	FTRD_CLS	MINDATE	MINDATE_SHLI	MINDATE_SHOU	FTRD_SHLI	ENDDATE	IDT_CODE
APC	CTCP chiếu xạ An Phú	An Phu Irradiation Jsc	HSX	Health Care	2010/01/22	8640000	2010/02/05	39000	2010/02/05	8640000		8640000	2099/12/31	HC
APG	CTCP Chứng khoán An Phát	Anphat Securities Jsc	HNX	Financials	2010/04/05	13500000	2010/04/05	15700	2010/04/05	13500000		13500000	2099/12/31	FI
API	CTCP Đầu tư Châu Á - Thái Bình Dương	Asia - Pacific Investment Jsc	HNX	Financials	2010/09/13	26400000	2010/09/13	15200	2009/10/26	26400000		26400000	2099/12/31	FI
API	CTCP Đầu tư Châu Á - Thái Bình Dương	Asia - Pacific Investment Jsc	UPC	Financials	2009/10/26	26400000	2009/10/26	9000				26400000	2010/09/01	FI
APP	CTCP Phát triển Phụ gia và Sản phẩm Dầu mỏ	Additives And Petroleum Products Jsc	HNX	Basic Materials	2010/10/05	2722500	2010/10/05	32000	2010/10/05	2722500		2722500	2099/12/31	BM
APS	CTCP Chứng khoán Châu Á Thái Bình Dương	Asia - Pacific Securities Jsc	HNX	Financials	2010/04/19	26000000	2010/04/19	14800	2009/06/24	26000000		26000000	2099/12/31	FI
APS	CTCP Chứng khoán Châu Á Thái Bình Dương	Asia - Pacific Securities Jsc	UPC	Financials	2009/06/24	26000000	2009/06/24	13100				26000000	2010/04/08	FI
ARM	CTCP Xuất nhập khẩu Hàng không (AIRIMEX)	General Aviation Import Export Jsc	HNX	Industrials	2010/10/26	2592740	2010/10/26	21500	2010/10/26	2592740		2592740	2099/12/31	IN
ASA	Cổ phiếu CTCP Liên doanh SANA WMT	SANA WMT Joint Venture Jsc	HNX	Consumer Goods	2012/03/12	3000000	2012/03/12	11100	2012/03/12	3000000		3000000	2099/12/31	CG
ASM	CTCP đầu tư và xây dựng Sao Mai tỉnh An Giang	Sao Mai Construction Corporation	HSX	Consumer Goods	2009/12/24	9912600	2010/01/18	45600	2010/01/18	9912600		9912600	2099/12/31	CG
ASP	CTCP Tập đoàn Dầu khí An Pha	An Pha Petroleum Group Jsc	HSX	Utilities	2008/02/01	12600000	2008/02/15	43500	2008/02/15	12600000		12600000	2099/12/31	UT
ATA	CTCP NTACO	Ntaco Co.	HSX	Consumer Goods	2009/08/26	10000000	2009/09/08	24000	2009/09/08	10000000		10000000	2099/12/31	CG
AVF	CTCP Việt An	Anvifish Jsc 	HSX	Consumer Goods	2010/11/09	22500000	2010/11/23	26000	2010/11/23	22500000		22500000	2099/12/31	CG
AVS	CTCP Chứng khoán Âu Việt	Au Viet Securities Corporation	HNX	Financials	2010/04/22	36000000	2010/04/22	15500	2010/04/22	36000000		36000000	2099/12/31	FI
B82	CTCP 482	482 Jsc	HNX	Industrials	2008/03/17	1500000	2008/03/17	45000	2008/03/17	1500000		1500000	2099/12/31	IN
BAS	CTCP Basa	BaSa Jsc	HSX	Consumer Goods	2008/11/11	9600000	2008/11/11	14400	2008/11/11	9600000		9600000	2099/12/31	CG
BBC	CTCP Bibica	Bibica Corporation	HSX	Consumer Goods	2001/12/17	5600000	2001/12/19	27000	2001/12/19	5600000		5600000	2099/12/31	CG
BBS	CTCP Bao bì Xi măng Bút Sơn	Butson Cement Packing Jsc	HNX	Industrials	2005/12/28	4000000	2005/12/28	12000	2005/12/28	4000000		4000000	2099/12/31	IN
BCC	CTCP Xi măng Bỉm Sơn	Bimson Cement Jsc	HNX	Industrials	2006/11/24	90000000	2006/11/24	18700	2006/11/27	90000000		90000000	2099/12/31	IN
BCE	CTCP Xây dựng và Giao thông Bình Dương	Binh Duong Construction And Civil Engineering Jsc. 	HSX	Industrials	2010/06/15	20000000	2010/06/28	24000	2010/06/28	20000000		20000000	2099/12/31	IN
BCI	CTCP Đầu tư Xây dựng Bình Chánh	Binh Chanh Construction Investment Shareholding Company.	HSX	Financials	2008/12/25	54200000	2009/03/16	24000	2009/03/16	54200000		54200000	2099/12/31	FI
BDB	CTCP Sách và Thiết bị Bình Định	Binh Đinh Book And Equipment Jsc	HNX	Consumer Services	2010/01/29	1126474	2010/01/29	11000	2010/01/29	1126474		1126474	2099/12/31	CS
BED	CTCP Sách và Thiết bị trường học Đà Nẵng	Danang Books And School Equipment Jsc	HNX	Consumer Services	2009/10/21	3000000	2009/10/21	30000	2009/10/21	3000000		3000000	2099/12/31	CS
BGM	CTCP Khai thác và chế biến Khoáng sản Bắc Giang	Bac Giang Exploitable Mineral Jsc 	HSX	Basic Materials	2011/06/06	16800000	2011/06/20	24000	2011/06/20	16800000		16800000	2099/12/31	BM
BHC	CTCP Bê tông Biên Hòa	Bien Hoa Concrete Jsc	HNX	Industrials	2009/05/15	4500000	2009/05/15	19500	2009/05/15	4500000		4500000	2099/12/31	IN
BHS	CTCP Đường Biên Hòa	Bien Hoa Sugar Jsc	HSX	Consumer Goods	2006/11/21	16200000	2006/12/20	60000	2006/12/20	16200000		16200000	2099/12/31	CG
BHT	CTCP Đầu tư Xây dựng Bạch Đằng TMC	Bach Dang Tmc Construction Investment Jsc	HNX	Industrials	2010/12/21	2565000	2011/01/11	18000	2011/01/11	2565000		2565000	2099/12/31	IN
BHV	CTCP Viglacera Bá Hiến	Viglacera Bahien Jsc	HNX	Industrials	2006/11/22	900000	2006/11/22	15000	2006/11/22	900000		900000	2099/12/31	IN
BIC	Tổng CTCP Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam	Bank For Invesment And Development Of Vietnam Insurance JCC	HSX	Financials	2011/06/20	66000000	2011/09/06	9200	2011/09/06	66000000		66000000	2099/12/31	FI
BKC	CTCP Khoáng sản Bắc Kạn	Bac Kan Mineral JCC	HNX	Basic Materials	2009/08/18	3748300	2009/08/18	48200	2009/08/18	3748300		3748300	2099/12/31	BM
BLF	CTCP Thủy sản Bạc Liêu	Bac Lieu Fisheries Jsc	HNX	Consumer Goods	2008/06/02	5000000	2008/06/02	10800	2008/06/02	5000000		5000000	2099/12/31	CG
BMC	CTCP Khoáng sản Bình Định	Binh Dinh Minerals Company	HSX	Basic Materials	2006/12/12	1311400	2006/12/28	50000	2006/12/28	1311400		1311400	2099/12/31	BM
BMI	Tổng CTCP Bảo Minh	Baominh Insurance Corporation	HSX	Financials	2006/11/28	75500000	2006/11/28	38400	2006/11/28	43400000		75500000	2099/12/31	FI
BMI	Tổng CTCP Bảo Minh	Baominh Insurance Corporation	HNX	Financials		43400000	2006/11/28	74100				43400000	2008/04/04	FI
BMJ	Khoáng sản Becamex	Becamex Mineral Jsc	UPC	Basic Materials	2009/12/22	6000000	2009/12/22	30000	2009/12/22	6000000		6000000	2099/12/31	BM
BMP	CTCP Nhựa Bình Minh	Binh Minh Plastics Jsc	HSX	Industrials	2006/06/12	10718000	2006/07/11	67000	2006/07/11	10718000		10718000	2099/12/31	IN
BPC	CTCP Bao bì Bỉm Sơn	Bimson Packing Company	HNX	Industrials	2002/03/08	3800000	2002/04/11	25000	2002/04/11	3800000		3800000	2099/12/31	IN
BPC	CTCP Bao bì Bỉm Sơn	Bimson Packing Company	HSX	Industrials		3800000	2009/06/08	14200				3800000	2009/05/28	IN
BRC	CTCP Cao su Bến Thành	Ben Thanh Rubber Jsc	HSX	Basic Materials	2011/10/27	8249998	2011/12/13	12800	2011/12/13	8249998		8249998	2099/12/31	BM
BSC	CTCP Dịch vụ Bến Thành	Ben Thanh Service Jsc	HNX	Consumer Services	2010/12/21	3000000	2011/01/05	11000	2011/01/05	3000000		3000000	2099/12/31	CS
BSI	CTCP Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam	Bank For Invesment & Development Of Vietnam Securities Company	HSX	Financials	2011/07/18	86500000	2011/07/19	10900	2011/07/19	86500000		86500000	2099/12/31	FI
BST	CTCP Sách thiết bị Bình Thuận	Binh Thuan Book And Equipment Jsc	HNX	Consumer Services	2008/12/18	1100000	2008/12/18	14000	2008/12/18	1100000		1100000	2099/12/31	CS
BT6	CTCP Beton 6	Beton 6 Corporation	HSX	Industrials	2002/04/12	5882690	2002/04/18	23500	2002/04/18	5882690		5882690	2099/12/31	IN
BTC	Cơ khí XD Bình Triệu	Binh Trieu Construction & Engineering Jsc	UPC	Industrials	2002/01/21	1351286	2009/07/28	32000	2002/01/21	1351286		1351286	2099/12/31	IN
BTC	Cơ khí XD Bình Triệu	Binh Trieu Construction & Engineering Jsc	HSX	Industrials		1351286	2002/01/21	21900				1351286	2009/06/26	IN
BTG	Bao bì Tiền Giang	Tien Giang Packaging Jsc	UPC	Industrials	2010/03/24	1190000	2010/03/24		2010/03/24	1190000		1190000	2099/12/31	IN
BTH	CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội	Ha Noi Transformer Manufacturing And Electric Material Jsc	HNX	Industrials	2008/01/04	3000000	2008/01/04	34000	2008/01/04	3000000		3000000	2099/12/31	IN
BTP	CTCP Nhiệt điện Bà Rịa	Ba Ria Thermal Power Jsc	HSX	Utilities	2009/11/17	60485600	2009/11/25	16600	2009/11/25	60485600		60485600	2099/12/31	UT
BTS	CTCP Xi măng Bút Sơn	Butson Cement Jsc	HNX	Industrials	2006/12/05	90000000	2006/12/05	23900	2006/12/05	90000000		90000000	2099/12/31	IN
BTT	CTCP Thương Mại – Dịch vụ Bến Thành	Ben Thanh Trading & Service Jsc	HSX	Consumer Services	2010/03/04	8800000	2010/04/14	38400	2010/04/14	8800000		8800000	2099/12/31	CS
BTW	Cấp nước Bến Thành	Ben Thanh Water Supply Jsc	UPC	Utilities	2010/03/04	9360000	2010/03/04		2010/03/04	9360000		9360000	2099/12/31	UT
BVG	CTCP Thép Bắc Việt	Bacviet Steel Jsc	HNX	Basic Materials	2010/08/09	9750948	2010/08/09	20200	2010/08/09	9750948		9750948	2099/12/31	BM
BVH	Tập đoàn Bảo Việt	Bao Viet Holdings	HSX	Financials	2009/06/16	573026605	2009/06/25	46200	2009/06/25	573026605		573026605	2099/12/31	FI
BVN	Vận tải thủy TKV	Vietnam Cotton Jsc	UPC	Consumer Goods	2011/10/11	5000000	2011/10/11		2011/10/11	5000000		5000000	2099/12/31	CG
BVS	CTCP Chứng khoán Bảo Việt	Bao Viet Securities Company	HNX	Financials	2006/12/18	15000000	2006/12/18	299500	2006/12/18	15000000		15000000	2099/12/31	FI
BWA	Cấp thoát nước & XD Bảo Lộc	Bao Loc Supply Sewerage And Construction Jsc	UPC	Utilities	2010/06/14	2700000	2010/06/14		2010/06/14	2700000		2700000	2099/12/31	UT
BXD	QL Bến xe Đà Nẵng	Da Nang Transport & Admintration Parking Place.	UPC	Industrials	2010/09/09	1136500	2010/09/09		2010/09/09	1136500		1136500	2099/12/31	IN
BXH	CTCP Bao bì Xi măng Hải Phòng	Haiphong Cement Packing Jsc	HNX	Industrials	2009/11/25	3000000	2009/11/25	20000	2009/11/25	3000000		3000000	2099/12/31	IN
C21	CTCP Thế kỷ 21	Century 21 Jsc 	HSX	Financials	2011/05/18	19336371	2011/05/18	28000	2011/07/15	19336371		19336371	2099/12/31	FI
C32	Đầu tư Xây dựng 3-2	Construction Investment Corporation 3-2	UPC	Industrials	2010/10/13	11200000	2010/10/13	12000	2010/10/13	11200000		11200000	2012/11/23	IN
C32	CTCP Đầu tư Xây dựng 3-2	Construction Investment Corporation 3-2	HSX	Industrials	2012/09/06	11200000	2012/11/30	14400	2010/10/13	11200000		11200000	2099/12/31	IN
C47	CTCP xây dựng 47	Construction Jsc 47	HSX	Industrials	2011/03/21	8000000	2011/03/30	14900	2011/03/30	8000000		8000000	2099/12/31	IN
C92	CTCP Xây dựng và Đầu tư 492	Construction And Investment Jsc No. 492	HNX	Industrials	2007/11/19	1200000	2007/11/19	85000	2007/11/19	1200000		1200000	2099/12/31	IN
CAD	CTCP Chế biến và Xuất nhập khẩu Thủy sản CADOVIMEX	Cadovimex Seafood Import-Export And Processing Jsc	HSX	Consumer Goods	2009/01/05	8000000	2009/01/05	1400	2009/01/05	8000000		8000000	2012/06/01	CG
CAD	CTCP Chế Biến & XNK Thủy Sản Cadovimex	Cadovimex Seafood Import-Export & Processing JSC	UPC	Consumer Goods	2012/06/07	20799927	2012/11/01	1400	2009/01/05	8000000		20799927	2099/12/31	CG
CAN	CTCP Đồ hộp Hạ Long	Halong Canned Food Jsc	HNX	Consumer Goods	2001/10/18	5000000	2001/10/22	14600	2001/10/22	5000000		5000000	2099/12/31	CG
CAN	CTCP Đồ hộp Hạ Long	Halong Canned Food Jsc	HSX	Consumer Goods		3499880	2001/10/22	27100				3499880	2009/06/01	CG
CAP	CTCP Lâm Nông sản Thực phẩm Yên Bái	Yen Bai Agro-Forestry Products And Foodstuff Corporation	HNX	Basic Materials	2008/01/09	1100000	2008/01/09	42200	2008/01/09	1100000		1100000	2099/12/31	BM
CCI	CTCP đầu tư phát triển công nghiệp thương mại Củ Chi	Cuchi Commercial And Industrial Developing Invesment Jsc	HSX	Financials	2010/04/07	9000000	2010/04/15	36000	2010/04/15	9000000		9000000	2099/12/31	FI
CCL	CTCP Đầu Tư và Phát Triển Đô thị Dầu Khí Cửu Long	Cuu Long Petro Urban Development &  Investment Corporation	HSX	Financials	2011/01/21	25000000	2011/03/03	27500	2011/03/03	25000000		25000000	2099/12/31	FI
CCM	CTCP Khoáng sản và Xi măng Cần thơ	Can Tho Minerals And Cement Jsc	HNX	Industrials	2008/09/18	2750000	2008/09/18	25000	2008/09/18	2750000		2750000	2099/12/31	IN
CDC	CTCP Chương Dương	Chuong Duong Corporation 	HSX	Industrials	2007/11/01	3600000	2007/11/01	28500	2007/11/01	3600000		3600000	2099/12/31	IN
CDC	CTCP Chương Dương	Chuong Duong Corporation 	HNX	Industrials		3600000	2007/11/01	294000				3600000	2010/08/30	IN
CFC	Cafico Việt Nam	Cafico Viet Nam Jsc	UPC	Consumer Goods	2009/06/24	1629120	2009/06/24	28500	2009/06/24	1629120		1629120	2099/12/31	CG
CHP	Thủy điện Miền Trung	Central Hydropower Jsc	UPC	Utilities	2010/04/20	68884571	2010/04/20	55000	2010/04/21	0		68884571	2099/12/31	UT
CI5	CTCP Đầu tư Xây dựng số 5	No.5 Construction Investment Jsc	UPC	Industrials	2011/07/01	1250000	2011/07/01	10000	2011/07/01	1250000		1250000	2099/12/31	IN
CIC	CTCP Đầu tư và Xây dựng COTEC	Cotec Investment And Construction Jsc	HNX	Industrials	2006/12/29	888800	2006/12/29	51000	2006/12/29	888800		888800	2099/12/31	IN
CID	CTCP Xây dựng và Phát triển Cơ sở Hạ tầng	Construction And Infrastructure Development Jsc	HNX	Industrials	2005/07/14	541000	2005/07/14	16300	2005/07/14	541000		541000	2099/12/31	IN
CIG	CTCP COMA18	Coma 18 Jsc	HSX	Industrials	2011/07/01	12000000	2011/07/01	10800	2011/07/19	12000000		12000000	2099/12/31	IN
CII	CTCP Đầu tư Hạ tầng Kỹ thuật TP.HCM	Hochiminh City Infrastructure Investment Jsc	HSX	Industrials	2006/02/24	30000000	2006/05/18	50000	2006/05/18	30000000		30000000	2099/12/31	IN
CJC	CTCP Cơ điện Miền Trung	Central Area Electrical Mechanical Jsc	HNX	Industrials	2006/12/14	2000000	2006/12/14	31800	2006/12/14	2000000		2000000	2099/12/31	IN
CKV	CTCP COKYVINA	Post And Telecommunication Trading Jsc	HNX	Technology	2010/03/11	4050000	2010/03/11	20000	2010/03/11	4050000		4050000	2099/12/31	TE
CLC	CTCP Cát Lợi	Cat Loi Jsc	HSX	Consumer Goods	2006/10/18	8400000	2006/11/16	60000	2006/11/16	8400000		8400000	2099/12/31	CG
CLG	CTCP Đầu tư và Phát triển Nhà đất Cotec	Cotec Investment And Land-House Development Jsc 	HSX	Financials	2010/07/30	10000000	2010/08/09	41800	2010/08/09	10000000		10000000	2099/12/31	FI
CLP	CTCP Thủy Sản Cửu Long	CuuLong Seaproducts Company	HSX	Consumer Goods	2012/09/13	8000000	2012/11/15	14400	2012/11/15	8000000		8000000	2099/12/31	CG
CLS	Chứng khoán Chợ Lớn	Cho Lon Securities Jsc	UPC	Financials	2009/06/24	9000000	2009/06/24	15800	2009/06/24	9000000		9000000	2099/12/31	FI
CLW	CTCP cấp nước Chợ Lớn	Cho Lon Water Supply Jsc 	HSX	Utilities	2010/10/20	13000000	2011/01/11	10000	2011/01/11	13000000		13000000	2099/12/31	UT
CMC	CTCP Đầu tư CMC	Cmc Investment Jsc	HNX	Consumer Goods	2006/12/11	1520000	2006/12/11	11000	2006/12/11	1520000		1520000	2099/12/31	CG
CMG	CTCP tập đoàn công nghệ CMC	Cmc Corporation	HSX	Technology	2010/01/13	63536267	2010/01/22	35000	2010/01/22	63536267		63536267	2099/12/31	TE
CMI	CTCP Cavico Khoáng sản và Công nghiệp	Cavico Industry And Minerals Jsc	HNX	Basic Materials	2010/06/23	4702500	2010/06/23	48000	2010/06/23	4702500		4702500	2099/12/31	BM
CMS	CTCP Cavico Xây dựng nhân lực và Dịch vụ	Cavico Construction Manpower And Services Jsc	HNX	Industrials	2010/11/29	2500000	2010/11/29	23000	2010/11/29	2500000		2500000	2099/12/31	IN
CMT	CTCP Công nghệ mạng và truyền thông	Information And Networking Technology Jsc. 	HSX	Technology	2010/01/25	8000000	2010/03/11	50000	2010/03/11	8000000		8000000	2099/12/31	TE
CMV	CTCP Thương nghiệp Cà Mau	Camau Trading Jsc.	HSX	Consumer Services	2010/06/09	8049986	2010/06/21	36000	2010/06/21	8049986		8049986	2099/12/31	CS
CMX	CTCP chế biến thủy sản và xuất nhập khẩu Cà Mau	Ca Mau Frozen Seafood Processing Import Export Corporation	HSX	Consumer Goods	2010/11/02	11496797	2010/11/09	15000	2010/11/09	11496797		11496797	2099/12/31	CG
CNG	CTCP CNG Việt Nam	CNG Viet Nam Jsc	HSX	Utilities	2011/11/14	20312038	2011/11/23	28700	2011/11/23	20312038		20312038	2099/12/31	UT
CNT	CTCP Xây dựng và Kinh doanh Vật tư	Construction And Materials Trading Jsc	HSX	Industrials	2008/07/09	8000000	2008/07/28	36000	2008/07/28	8000000		8000000	2099/12/31	IN
COM	CTCP Vật tư Xăng Dầu	Materials - Petroleum Jsc	HSX	Consumer Services	2006/05/12	3400000	2006/08/07	39000	2006/08/07	3400000		3400000	2099/12/31	CS
CPC	CTCP Thuốc sát trùng Cần thơ	Can Tho Pesticides Jsc	HNX	Basic Materials	2010/01/18	4108800	2010/01/18	24500	2010/01/18	4108800		4108800	2099/12/31	BM
CSC	CTCP Đầu tư và Xây dựng Thành Nam	Thanh Nam Construction And Investment Jsc	HNX	Financials	2009/11/04	2500000	2009/11/04	46600	2009/11/04	2500000		2500000	2099/12/31	FI
CSG	CTCP Cáp Sài gòn	Sai Gon Cable Corporation	HSX	Technology	2008/05/06	29742020	2008/05/06	15900	2008/05/06	29742020		29742020	2099/12/31	TE
CSG	CTCP Cáp Sài gòn	Sai Gon Cable Corporation	HNX	Technology		30000000	2008/05/06	14100				30000000	2009/06/30	TE
CSM	CTCP Công nghiệp Cao su Miền Nam	The Southern Rubber Industry Jsc	HSX	Consumer Goods	2009/08/04	25000000	2009/08/11	50000	2009/08/11	25000000		25000000	2099/12/31	CG
CT3	Xây dựng công trình 3	Project 3 Construction & Investment Jsc	UPC	Industrials	2009/11/20	2181209	2009/11/20		2009/11/20	2181209		2181209	2099/12/31	IN
CT6	CTCP Công trình 6	Construction Jsc No6	HNX	Industrials	2010/05/04	4437401	2010/05/04	31500	2010/05/04	4437401		4437401	2099/12/31	IN
CTA	CTCP Vinavico	Vinavico Jsc	HNX	Industrials	2010/10/01	8000000	2010/10/01	24900	2010/10/01	8000000		8000000	2099/12/31	IN
CTB	CTCP Chế tạo Bơm Hải Dương	Hai Duong Pump Manufacturing Jsc	HNX	Industrials	2006/10/10	1714330	2006/10/10	31100	2006/10/10	1714330		1714330	2099/12/31	IN
CTC	CTCP Văn hoá Du lịch Gia Lai	Gia Lai Culture - Tourism Jsc	HNX	Consumer Services	2008/07/08	2376200	2008/07/18	21500	2008/07/18	2376200		2376200	2099/12/31	CS
CTD	CTCP Xây dựng Cotec	Cotec Construction Jsc. 	HSX	Industrials	2009/12/09	18450000	2010/01/20	114000	2010/01/20	18450000		18450000	2099/12/31	IN
CTG	Ngân hàng Thương mại Cổ phần Công Thương Việt Nam	Viet Nam Jsc mmercial Bank For Industry And Trade	HSX	Banks	2009/07/09	121211780	2009/07/16	40100	2009/07/16	121211780		121211780	2099/12/31	BA
CTI	CTCP Đầu tư Phát triển Cường Thuận IDICO	Cuongthuan Investment Corporation	HSX	Industrials	2010/02/10	15000000	2010/03/19	26400	2010/03/19	15000000		15000000	2099/12/31	IN
CTM	CTCP Đầu tư Xây dựng và Khai thác Mỏ Vinavico	Vinavico Investment, Construction And Mining Jsc	HNX	Basic Materials	2009/08/07	2677800	2009/08/07	15000	2009/08/07	2677800		2677800	2099/12/31	BM
CTN	CTCP Xây dựng Công trình Ngầm	Underground Works Construction Jsc	HNX	Industrials	2006/12/20	3000000	2006/12/20	50600	2006/12/20	3000000		3000000	2099/12/31	IN
CTS	CTCP Chứng khoán Ngân hàng Công thương Việt Nam	Vietinbank Securities	HNX	Financials	2009/07/31	78993400	2009/07/31	31600	2009/07/31	78993400		78993400	2099/12/31	FI
CTV	CTCP Đầu tư - Sản xuất và Thương mại Việt Nam	Viet Nam Investment - Production And Trading Jsc	HNX	Consumer Services	2011/09/09	2000000	2011/09/09	9000	2011/09/09	2000000		2000000	2099/12/31	CS
CTX	Tổng CTCP Đầu tư xây dựng và Thương mại Việt Nam	Vietnam Investment Construction And Trading JCC	HNX	Industrials	2012/03/30	25453800	2012/05/24	13600	2012/05/24	25453800		25453800	2099/12/31	IN
CVN	CTCP Vinam	Vinam Jsc	HNX	Industrials	2010/08/06	1000000	2010/08/06	34500	2010/08/06	1000000		1000000	2099/12/31	IN
CVT	CTCP CMC	Cmc Jsc	HNX	Industrials	2009/11/05	4000000	2009/11/05	25000	2009/11/05	4000000		4000000	2099/12/31	IN
CX8	CTCP Đầu tư và Xây lắp Constrexim Số 8	Constrexim No 8 Investment And Construction Jsc	HNX	Industrials	2010/05/19	1858960	2010/05/19	23000	2010/05/19	1858960		1858960	2099/12/31	IN
CYC	CTCP Gạch men Chang Yih	Chang Yih Ceramic Jsc	HSX	Industrials	2006/06/21	1990530	2006/07/31	20000	2006/07/31	1990530		1990530	2099/12/31	IN
CZC	CTCP Than Miền Trung	Vinacomin - Central Zone Coal Jsc	UPC	Basic Materials	2011/04/05	2667900	2011/04/05		2011/04/05	2667900		2667900	2099/12/31	BM
D11	CTCP Địa ốc 11	Real Estate 11 Jsc	HNX	Financials	2011/01/06	2600000	2011/02/25	67000	2011/02/25	2600000		2600000	2099/12/31	FI
D26	Than Miền Trung - TKV	Road Management  & Construction Jsc 26	UPC	Industrials	2011/01/10	1000000	2011/01/10		2011/01/10	1000000		1000000	2099/12/31	IN
D2D	CTCP Phát triển Đô thị Công Nghiệp Số 2	Industrial Urban Development Jsc No.2	HSX	Financials	2009/06/24	10700000	2009/08/14	48000	2009/08/14	10700000		10700000	2099/12/31	FI
